 [1] " always fan director neil jordan early work s company wolves s crying game s interview vampire "                                                                 
 [2] " latest film butcher boy return roots ireland unfortunately successful homecoming "                                                                              
 [3] "told eyes yearold irish boy francis newcomer eomann owens peculiar film follows learn little decidedly unstable life "                                           
 [4] " father stephen rea indifferent alcoholic mother fiona shaw mentally ill always hospitals francis delights terrorizing mother one friends forbidden see anymore "
 [5] "francis type boy always lot say mostly fluctuates sarcasm frightening honesty quickly becomes apparent may well little psychotic even capable brutal murder "    
 [6] " premise butcher boy one well turned thoughtprovoking disturbing motion picture somehow nothing works "                                                          
 [7] "francis almost every scene learn little film distancing away suspect actually supposed sympathize "                                                              
 [8] " definately young owens fault however gives brilliantly accurate performance able also seem menacing well "                                                      
 [9] " fact dont get close character sloppy screenplay "                                                                                                               
[10] " supporting characters help though "                                                                                                                             
[11] "rea wasted practically scenes actually talks son anyone else matter "                                                                                            
[12] " usually seems just sitting watching television throughout "                                                                                                     
[13] "shaw little bit work since one touching scene talks francis time despair picture just beginning know "                                                           
[14] " singer sinead oconnor appears rather effectively virgin mary occasionally gives francis advice "                                                                
[15] " pacing butcher boy "                                                                                                                                            
[16] "although story dynamite moves deadeningly slow rate found mind wandering every "                                                                                 
[17] " also episodic developments story fly satisfying payoffs "                                                                                                       
[18] " one point francis sent away juvenile prison odd possibly sexual relationship begins develop priest nothing comes "                                              
[19] "id rather think butcher boy brief diversion director jordan rather total misfire "                                                                               
[20] " already proven strong director lucked latest film "                                                                                                             
[21] " courageous unsettling character study emotionally disturbed young boy manages ineffective uninvolivng bore "                                                    
