 [1] "godzilla nuclear freak "                                                                                            
 [2] " lizard mutated years become new species one foot long bus claw long sign "                                         
 [3] " aquatic creature made first attack pacific islands "                                                               
 [4] " tore ship carried dozens japanese men "                                                                            
 [5] "one survived "                                                                                                      
 [6] " left recount terror seen "                                                                                         
 [7] " merely able repeat words godzilla godzilla godzilla "                                                              
 [8] " film introduces us matthew broderick biologist studying fascinating growth chernobyl earthworms "                  
 [9] " theyre larger used proclaims "                                                                                     
[10] " u s military pulls three year project assigns figure godzilla "                                                    
[11] " boy find "                                                                                                         
[12] " boy godzilla suck "                                                                                                
[13] " hate use word review something supposed inform audience really need drive one home refuse use explitives "         
[14] " unbelieveable producers movie saw final cut said ok "                                                              
[15] " great "                                                                                                            
[16] "lets show puppy "                                                                                                   
[17] "roland emmerich needs good horse whipping "                                                                         
[18] " latest piece trash makes id look like masterpiece modern american cinema "                                         
[19] " steven spielberg never made jurassic park films emmerich team talentchallenged imbeciles never clue creature look "
[20] "let give examples terrible attempt filmmaking "                                                                     
[21] " plan giving things away "                                                                                          
[22] "belive godzilla holds surprises anyone iq higher shoe size "                                                        
[23] "worries "                                                                                                           
[24] "however looking first time thrill refuse let favor means stop reading now "                                         
[25] " godzilla makes first ever attack pacific islands "                                                                 
[26] " next strikes new york city "                                                                                       
[27] "um anyone map handy "                                                                                               
[28] "b mayor new york city heavy set individual parted gray hair thick glasses "                                         
[29] " name mayor ebert "                                                                                                 
[30] " assistant named gene "                                                                                             
[31] "gene gives ebert thumbs end film "                                                                                  
[32] " couldnt make tried folks "                                                                                         
[33] "c stay one "                                                                                                        
[34] "ok "                                                                                                                
[35] "godzilla can run torpedoes "                                                                                        
[36] "hank azaria can run godzilla babies "                                                                               
[37] " look like jurassic park raptors jurassic park raptors "                                                            
[38] "d u s military upon realization godzilla disappeared running rampant city decides might hiding building "           
[39] "e oh yeah can go way e godzilla strikes manhattan "                                                                 
[40] "manhattan island approximately size san francisco holds three million people "                                      
[41] " evactuate new jersey one day "                                                                                     
[42] " problem "                                                                                                          
[43] "f early bait godzilla fish "                                                                                        
[44] " likes fish know "                                                                                                  
[45] " thing island "                                                                                                     
[46] " atlantic ocean three steps east pile whole bunch grouper fifth th oh "                                             
[47] "hes gonna come running "                                                                                            
[48] "g know "                                                                                                            
[49] "ill stop list now "                                                                                                 
[50] "alphabet isnt big enough anyway "                                                                                   
[51] " dialogue makes wonder producer dean devlin five year old rewrite "                                                 
[52] " kid good must said "                                                                                               
[53] "maria pitillo looking become name hollywood starring potential blockbuster "                                        
[54] "bad move maria "                                                                                                    
[55] "acting doesnt get much worse turn brodericks exflame "                                                              
[56] "matthew broderick good actor youd never give chance godzilla film youd seen "                                       
[57] "jean reno needs pick american films bit carefully "                                                                 
[58] " times godzilla seems headed toward zucker abrahams zucker film "                                                   
[59] " airplane naked gun "                                                                                               
[60] " jokes indeed bad "                                                                                                 
[61] " just think filmmakers fun take seriously "                                                                         
[62] " dare "                                                                                                             
[63] "godzilla better thrown visual sight gags fart jokes "                                                               
[64] " least know supposed laugh "                                                                                        
[65] " every character godzilla beyond stupid really pulling beast kill "                                                 
[66] "emmerich one thing though "                                                                                         
[67] " ive idea intentional "                                                                                             
[68] " made sympathize godzilla "                                                                                         
[69] " attackers damn dumb felt sorry pelted bullets missles "                                                            
[70] " made feel even sorrier famous name will always attatched one worst films hollywood ever produced "                 
