 [1] " showgirls first bigbudget bigstudio film receive nc rating "                                                                                                                                       
 [2] " release last year came time senator bob dole politicans chastised entertainment industry promoting sex violence "                                                                                  
 [3] " showgirls indication hollywoods future folks washington focus attack dangerous threat american valuesbad moviemaking "                                                                             
 [4] " showgirls relentlessly exploitive look las vegas strip scene film turns just trashy subject matter "                                                                                               
 [5] "director paul verhoeven writer joe eszterhas collaborated another shockvalue project s basic instinct follow plight young woman teen tv star elizabeth berkley determined make name topless dancer "
 [6] " hackneyed premise begin surprisingly stock characters trucked "                                                                                                                                    
 [7] "theres demanding producer "                                                                                                                                                                         
 [8] " loyal friend "                                                                                                                                                                                     
 [9] " bitchy competitor "                                                                                                                                                                                
[10] "lest forget scummy club owner "                                                                                                                                                                     
[11] " course attempt character development coherent storyline just window dressing films main attractionan endless parade fullfrontal nudity "                                                           
[12] "unfortunately showgirls doesnt satisfy department "                                                                                                                                                 
[13] "verhoevens slambang inyourface style direction proves neither arousing erotic "                                                                                                                     
[14] " make matters worse youll forced sit movies clothed scenes dont cover laughable acting absurd dialogue ever spoken film history "                                                                   
[15] "verhoeven ezsterhas deserve credit trying break ground adult entertainment want stay home watch playboy channel "                                                                                   
[16] "youll wiser "                                                                                                                                                                                       
