 [1] " time take cover "                                                                                                                                                          
 [2] " hiatus fifteen years disaster movie come back renewed zest "                                                                                                               
 [3] " early less three movies volcanoes alone one television two theaters dantes peak volcano heavy competition moviegoing dollar "                                              
 [4] " two heard dantes peak better film decided check released video "                                                                                                           
 [5] " film begins slow motion scene people third world country trying evacuate little town "                                                                                     
 [6] " town covered ash sulfuric water presume volcanic eruption "                                                                                                                
 [7] "flaming rocks various sizes also fall sky crushing homes people "                                                                                                           
 [8] " see people panicking people crying even horses rearing "                                                                                                                   
 [9] " disaster biblical proportions signified us one person dragging cross road "                                                                                                
[10] "symbolism doesnt get much blatant "                                                                                                                                         
[11] " learn harry dalton pierce brosnan volcanologist u s geological survey wife eruption occurred "                                                                             
[12] "harry survived wife "                                                                                                                                                       
[13] " years later harry sent investigate unusual seismic activity detected near small town dantes peak washington told voted second desirable place live readers money magazine "
[14] " harry meets rachel wando single mother two serves mayor dantes peak proprietor small coffee shop "                                                                         
[15] "although mayor doesnt seem alarmed presence man sent determine mountain next town going blow members city council "                                                         
[16] " afraid harrys presence going scare investor pledged put millions dollars developing dantes peak "                                                                          
[17] " rather news possible stirrings within neighboring dormant volcano swept rug "                                                                                              
[18] "however amorous young couple takes skinnydip local hot springs turn cooked lava bubbles small fissure underneath "                                                          
[19] "thus begins chain events leading inevitable eruption "                                                                                                                      
[20] " film contains number cliches "                                                                                                                                             
[21] " amorous couple one "                                                                                                                                                       
[22] " soon doff clothes know theyre going die "                                                                                                                                  
[23] " town busybody abrasive motherinlaw make appearances deathdefying dog "                                                                                                     
[24] "countless familiar scenarios serve make film predictable "                                                                                                                  
[25] "watching movie able anticipate major plot elements dialogue well "                                                                                                          
[26] "unfortunate since much dialog terrible "                                                                                                                                    
[27] " example harrys boss paul charles hallahan team u s geological survey join harry assess situation "                                                                         
[28] "paul basically tells townsfolk harrys eruption predictions arent cause alarm "                                                                                              
[29] " causes harry leave fit rage turn next day ready work "                                                                                                                     
[30] " paul asks harry stayed says grim determination cause towns trouble im best man youve got "                                                                                 
[31] "even better harry trying explain need jolt residents leaving "                                                                                                              
[32] " likens situation frog will jump dropped pot boiling water "                                                                                                                
[33] " frog cold water gradually heated however frog wont move will allow cooked "                                                                                                
[34] " recipe frog soup "                                                                                                                                                         
[35] "asks one team members "                                                                                                                                                     
[36] " recipe disaster responds harry "                                                                                                                                           
[37] "dantes peak singular talent pointing obvious "                                                                                                                              
[38] " heroes boat middle lake harry realizes volcanic activity turned acid "                                                                                                     
[39] "mayor wando demonstrates brilliant powers deduction proclaiming grave tone acid eats metal "                                                                                
[40] "thanks tip "                                                                                                                                                                
[41] " first see u s geological survey building theres caption labeling "                                                                                                         
[42] " wouldnt bad werent fact caption right sign building reads large letters u s geological survey "                                                                            
[43] " suppose caption people cant read signs "                                                                                                                                   
[44] "although harry mayor wando become item end film viewer idea "                                                                                                               
[45] " severe lack chemistry two characters relationship seems rushed "                                                                                                           
[46] " get close kissing asking want kiss "                                                                                                                                       
[47] " even attracted "                                                                                                                                                           
[48] " mayor sure think twice kissing guy doesnt even crack smile whole movie trying pull roughyetdebonair act "                                                                  
[49] " think "                                                                                                                                                                    
[50] "james bond "                                                                                                                                                                
[51] " eruption volcano feels similarly rushed "                                                                                                                                  
[52] " several warning signs prior eruption lackluster without suspense dont feel leading anything "                                                                              
[53] " example one survey team members makes way crater volcano order retrieve remote controlled robot "                                                                          
[54] " tremor occurs "                                                                                                                                                            
[55] " plunge headlong death "                                                                                                                                                    
[56] " engulfed lava shoots "                                                                                                                                                     
[57] " couple rocks fall break leg "                                                                                                                                              
[58] " sole purpose scene seemed set subsequent chopper rescue scene suppose intended dramatic well "                                                                             
[59] " wasnt "                                                                                                                                                                    
[60] "one plot thread left noticeably hanging investment town dantes peak "                                                                                                       
[61] " disaster movie theres usually one guy whos greedy enough cover possibility eruptionfireearthquakeexplosiontsunamitornadometeorite usually gets killed disaster "           
[62] " okay course think got deserved "                                                                                                                                           
[63] " youre going unoriginal might well go way "                                                                                                                                 
[64] " dantes peak city councilmembers concerned dont really try hard enough "                                                                                                    
[65] "maybe mayors abrasive motherinlaw one "                                                                                                                                     
[66] " apparent reason snaps harry even positing volcano erupt "                                                                                                                  
[67] "perhaps ancestors invested pompeii real estate "                                                                                                                            
[68] " couple good things movie "                                                                                                                                                 
[69] " first scenery "                                                                                                                                                            
[70] " panoramic shots forests lakes mountains absolutely beautiful "                                                                                                             
[71] " second special effects "                                                                                                                                                   
[72] " closest ive ever seen real pyroclastic eruption "                                                                                                                          
[73] " elements dont speak going best parts movie youd probably better rewrite script "                                                                                           
