 [1] " scary "                                                                                                                                                                                                      
 [2] " first words came mind "                                                                                                                                                                                      
 [3] " movie called vampires scary arent words associated "                                                                                                                                                         
 [4] " wasnt gripe "                                                                                                                                                                                                
 [5] "john carpenter name associated cuttingedge cinema intense scares halloween thing prince darkness offbeat action live escape new york "                                                                        
 [6] "unfortunately thing cutting edge vampires level boredom movie able reach "                                                                                                                                    
 [7] " anemic plot notquitekosher special effects john carpenters vampires barely enough substance slake thirst even least discerning genre fan "                                                                   
 [8] " film first concerned group roaming vampire slayers led james woods people "                                                                                                                                  
 [9] "like sort holy ateam even soupedup van bunch invade wipe nest vampires new mexico shack "                                                                                                                     
[10] " method amusingly innovative bloodsuckers reeled harpoons can flare sun like matchsticks "                                                                                                                    
[11] " commemorate victory loutish band decorates motel room hookers parties night away "                                                                                                                           
[12] " celebration shortlived however master vampire named valek ambushes singlehandedly destroys team "                                                                                                            
[13] "woods jack crow buddy montoya daniel baldwin escape lives along woman named katrina sheryl lee "                                                                                                              
[14] "although woman bitten montoya crow decide keep katrina psychic link master vampire "                                                                                                                          
[15] " rest movie concerned boys hunt valek thomas ian griffith freaky marilyn mansontype whos mission dates back years "                                                                                           
[16] "along way pick priest named guiteau tim guinee character serves pretty much purpose jittery cpl "                                                                                                             
[17] "upham saving private ryan "                                                                                                                                                                                   
[18] " stuff happens middle movie cant remember often found twitching hair corner frame interesting happening screen "                                                                                              
[19] "vampires finally starts pick minutes mix crow guiteau montoya assault abandoned prisonturned vampire nest "                                                                                                   
[20] " film begin even resemble carpenter flick "                                                                                                                                                                   
[21] " little late "                                                                                                                                                                                                
[22] " get inevitable final confrontation seems tacked rather anticlimactic come dealing master vampire "                                                                                                           
[23] "interestingly last summers vampire actioner blade derived comic book vampires novel yet latter seems steeped campy cheesiness former deliberate superhero flick "                                             
[24] "woods jack crow spouts glib offthecuff oneliners strolls away exploding buildings ohsocool stride "                                                                                                           
[25] " motive killing vampires "                                                                                                                                                                                    
[26] "take wild guess "                                                                                                                                                                                             
[27] " hint killed just "                                                                                                                                                                                           
[28] " least blade decent action slick stylishness "                                                                                                                                                                
[29] "vampires lacks even cheap thrills mask gossamerthin plot "                                                                                                                                                    
[30] " make movie resorts shocks generally condescending attitude towards women crow slaps around fun overplayed contempt religion crow teases guiteau incessantly whether vow celibacy made prone getting woodies "
[31] " can argued maybe wanted much movie "                                                                                                                                                                         
[32] " scary gory wanted tense relentless exhausting "                                                                                                                                                              
[33] "john carpenters vampires none "                                                                                                                                                                               
[34] " can recommended hardcore carpenter fan "                                                                                                                                                                     
[35] " rest looking good scare beware vampires film teeth "                                                                                                                                                         
