 [1] "hollywood never fails astound "                                                                                                                               
 [2] "every time think cokedup little buggers hit rock bottom come new excavating tool "                                                                            
 [3] " truly convinced wild wild west marked studio filmmaking hapless along comes end days prove wrong "                                                           
 [4] " big budget brain dead apocalyptic thriller bludgeons audience overwrought music grisly violence explosions galore lots cheesy special effects "              
 [5] " result "                                                                                                                                                     
 [6] "nothing groans yawns "                                                                                                                                        
 [7] "even devil unable produce decent scare festival inept "                                                                                                       
 [8] " least end days done us courtesy badenoughtobegood cant even manage "                                                                                         
 [9] " just lousy "                                                                                                                                                 
[10] "arnold schwarzenegger still recovering heart problems batman robin plays excop turned security agent bodyguard something "                                    
[11] "along obligatory comic relief partner kevin pollak impersonating matthew perrys chandler character friends gets involved major league supernatural hoodoo "   
[12] " seems satan gabriel byrne gets shot world domination every thousand years thought hed pulled republican landslide "                                          
[13] " sex year old christine york robin tunney chosen one child will antichrist least brat "                                                                       
[14] "ah deal catches new years eve pass halfway house "                                                                                                            
[15] " unholy union must take place december see just turned upside p m midnight wonder guy cranky "                                                                
[16] " chosen one given refuge church devil wont know cant see sanctuary "                                                                                          
[17] " know kind like supermans xray vision lead walls evil "                                                                                                       
[18] " group guerrilla catholic priests decide best way stop situation killing girl "                                                                               
[19] "arnold chooses save girl kick hell satan youll pardon expression "                                                                                            
[20] " kevin meets exploding van make decisions "                                                                                                                   
[21] "oh anguish "                                                                                                                                                  
[22] "oh humanity "                                                                                                                                                 
[23] "oh writing "                                                                                                                                                  
[24] "andrew w marlowes screenplay ladles implausibility upon implausibility preposterous otherworldly histrionics handling jericho cane schwarzeneggers character "
[25] "cane starts film la mel gibson first lethal weapon preparing put gun mouth due ongoing despondence murder wife daughter "                                     
[26] "twenty minutes later hes racing bowels new york city deciphering clues sherlock holmes kreskin find baffling "                                                
[27] " cane meets christine york instantly switches terminator father figure mode young woman serving surrogate daughter "                                          
[28] " case anyone misses connection camera comes close christines music box just happens identical one owned canes daughter "                                      
[29] "subtle marlowe subtle "                                                                                                                                       
[30] "speaking cameras director peter hyams just man take marlowes script make even selfimportant murky annoying "                                                  
[31] "hyams direction shows subtlety gwar video cane running gauntlet ridiculous action set pieces punctuated loads big explosions "                                
[32] "eager satisfy arnolds core audience even throws pairs breasts well "                                                                                          
[33] " guy "                                                                                                                                                        
[34] " film delivered decent scares even maintained consistently ominous tone bombastic clich s might tolerable end days simply flaccid special effects show "      
[35] " cast just ineffective "                                                                                                                                      
[36] " early scenes gabriel byrne attempts invest beelzebub panache soon turns just another standard issue monster "                                                
[37] "kevin pollak comes goes quickly robin tunney comes like bargain basement winona ryder arnold well hes better actor casper van dien "                          
[38] " count something "                                                                                                                                            
[39] "way back aftermath exorcist omen supernatural swill like end days might passed muster bmovie "                                                                
[40] " now "                                                                                                                                                        
[41] " xfiles buffy vampire slayer deliver real scares weekly basis want see devil flip club take gander pat robertsons grinning maw "                              
[42] " enduring end days can say get thee behind satan "                                                                                                            
[43] " youre get thee better agent well "                                                                                                                           
