 [1] "im giving stinker "                                                                                                           
 [2] "normally worst ever rate movie "                                                                                              
 [3] " total waste time blazing saddles compounded fact movie incredibly offensive helped come big goose egg "                      
 [4] "im sure hell mel brooks thinking made thing even thinking "                                                                   
 [5] "maybe mels little mind horse knocked unconscious punch face funny "                                                           
 [6] " mine "                                                                                                                       
 [7] " maybe mel graduated spike lee school filmmaking "                                                                            
 [8] " selfrighteous lee uses nword often films brooks one "                                                                        
 [9] " least lee smarts realize nobody going find term amusing "                                                                    
[10] "brooks bandies like figures audience will rolling aisles every time hear "                                                    
[11] "wrong mel "                                                                                                                   
[12] " call boob mel insults breasts everywhere "                                                                                   
[13] " idiotic attempt comedy centers evil lieutenant governors harvey korman attempts clear town can buy land cheap sell railroad "
[14] " sends goons run townsfolk "                                                                                                  
[15] " town appeals governor mel brooks one many uninspired unfunny roles send new sheriff protect "                                
[16] " governor pawns task kormans character hedley lamarr "                                                                        
[17] " can tell rolling chairs right now just thinking humor name "                                                                 
[18] "lamarr decides send town black sheriff gasp hopes town will disgusted prospect black man living among will just leave "       
[19] "hold ive got stop gales laughter pass "                                                                                       
[20] " just funny "                                                                                                                 
[21] "racism passing humor gosh didnt anybody ever think one "                                                                      
[22] "oh wait think somebody might called kkk "                                                                                     
[23] "im calling brooks racist calling insensitive bastard wouldnt know funny hit head "                                            
[24] " digress "                                                                                                                    
[25] "anyway black sheriff rides town amid flurry townsfolk using nword "                                                           
[26] "golly will hilarity just never end "                                                                                          
[27] " ends joining forces drunk gene wilder happens former fastest gun west "                                                      
[28] "together save day evil "                                                                                                      
[29] " one person movie gives decent performance "                                                                                  
[30] "wilder looks like recovering head injury movie korman looks embarrassed part movie "                                          
[31] "ok really didnt "                                                                                                             
[32] " films star cleavon little goes along black jokes discussing time day "                                                       
[33] " laugh whole sorry experience "                                                                                               
[34] " admit starting snicker couple occasions "                                                                                    
[35] "actually end started look going promise alas ended crappy rest movie "                                                        
[36] " can say full confidence blazing saddles redeeming qualities whatsoever "                                                     
[37] "mel brooks world favor burned every last copy film "                                                                          
