 [1] " summer wasnt good one devout cinephiles "                                                                                                                                                                                                                                                                                                                 
 [2] " offered blair witches sixth senses best big budget hollywood efficient xmen adaptation flawed entertaining shaft update "                                                                                                                                                                                                                                 
 [3] "nurse betty signals unofficial end dreadful summer movie season commencement potentially brighter fall movie season batterycharging least critics sit every piece o shit moseys multiplexes time year oscar contenders read quality films compete audiences "                                                                                              
 [4] "alas betty dubious distinction first overpraised junk heap new season "                                                                                                                                                                                                                                                                                    
 [5] " also indie director neil labutes first attempt something resembling mainstream picture im sad report resounding failure least web site mess thats hopelessly saccharine people accused labutes previous films unrelentingly masochistic "                                                                                                                 
 [6] " went expecting something decent betty gleefully praised screenplay even winning award cannes exited shaking noggin bewilderment "                                                                                                                                                                                                                         
 [7] " critics desperate something unique theyre blind derivative particular brand uniqueness betty dolls "                                                                                                                                                                                                                                                      
 [8] " first time labute working script written seems unsure handle material "                                                                                                                                                                                                                                                                                   
 [9] "betty tries hip like pulp fiction another flick featuring pair strangely bright articulate hit men enchanting like wizard oz film makes several allusions heartwarming like stick favorite loveable misfit movie end left cold calculated desperation "                                                                                                    
[10] " labutes half hearted attempt make crowd pleaser doesnt even seem half heart "                                                                                                                                                                                                                                                                             
[11] "nurse betty concerns soap opera addict betty brilliantly played renee zellweger witnesses killing husband del aaron eckhart playing casually loutish husband since richard benjamin diary mad housewife two hit men morgan freeman chris rock "                                                                                                            
[12] " happens beloved soap background somehow merges two realities "                                                                                                                                                                                                                                                                                            
[13] "shes blocked husbands death thinks shes character favorite soap reason love "                                                                                                                                                                                                                                                                              
[14] "betty sets road la drugs unknowingly stashed car trunk searching soap boyfriend dr david ravell greg kinnear two bickering hit men follow close pursuit "                                                                                                                                                                                                  
[15] " labute birthed extraordinary company men slipped bit much sophomore effort friends neighbors fell straight ass bash play penned recently aired showtime "                                                                                                                                                                                                 
[16] " play demonstrated forward movement artist labutes persistence wallowing horrid things average people usually realizing horrid "                                                                                                                                                                                                                           
[17] " play paul rudd obnoxious jock delivers monologue detailing followed gay man bathroom beat maybe death clueless girlfriend essentially regards sadistic behaviors something along old maxim boys will boys "                                                                                                                                               
[18] "another character schlubby businessman reacts loss job actually killing baby "                                                                                                                                                                                                                                                                             
[19] " powerful labutes work casual nonchalant cruelty selfishness often elements us amplified disgusting degree become top borderline comic "                                                                                                                                                                                                                   
[20] "obviously point labute use dose different kind material pigeon holes nurse betty isnt "                                                                                                                                                                                                                                                                    
[21] " clearly little passion hes instead replacing mojo strained quirks one hit men huge soap fan character betty little one joke gimmick zelllweger hadnt managed transcend tailor made appeal widest possible audience "                                                                                                                                      
[22] "nearly every scene chris rock morgan freeman fatally slows picture two made enact softboiled tarantinoesque dialogue "                                                                                                                                                                                                                                     
[23] " evince little chemistry rock constantly top rant mode acting like angry comic thing resembling hit man occupation thats represented far frequently movies nowadays "                                                                                                                                                                                      
[24] " think rock great comic yet hasnt able bring feral intelligence movies whenever acts matter part like hes damn chris rock show "                                                                                                                                                                                                                           
[25] "surprisingly least considering work irene renee zellweger gives revelatory performance building baby faced apple pie looks "                                                                                                                                                                                                                               
[26] " wideopen face helium voiced earnestness suggests little girl fully grown thirtyyearold body "                                                                                                                                                                                                                                                             
[27] " best work shes ever done "                                                                                                                                                                                                                                                                                                                                
[28] "freeman effective always though performance nonetheless suffers seems odds movie wants take "                                                                                                                                                                                                                                                              
[29] " actor plays role usual calm collected manner though flick tries insinuate symbolic kinship character bettys suggesting controlled fantasies rather reality "                                                                                                                                                                                              
[30] "thats interesting movie doesnt anything crash land subtheme labored speech midst badly staged gun battle "                                                                                                                                                                                                                                                 
[31] " film good moments many scenes involving good greg kinnear especially confrontation zellweger almost soothing lyrical score know movies trouble score sticks one best things nothing jells parts good bad disparate opposing "                                                                                                                             
[32] " film might worked settled one type film mainstream female forrest gump oddball art film falls flat diet coke "                                                                                                                                                                                                                                            
[33] "bettys screenplay makes mistake relying much concurrence without betty wouldnt make progress film "                                                                                                                                                                                                                                                        
[34] "nurse betty film driven coincidence rather charter like betty becomes nurse film job takes order get closer imaginary lover happens hospital exact moment drive shooting takes place miraculously knows take care victims wound happened see tv leads offered room victims girlfriend eventually gets betty party meets kinnear little tidy dontcha think "
[35] "betty interesting theme though doesnt even seem aware "                                                                                                                                                                                                                                                                                                    
[36] " current state tv leaning towards reality television enormous success survivor moderate success big brother way "                                                                                                                                                                                                                                          
[37] " film women deluded think favorite soap opera reality ironically reallife survivor sean kennif taken part doctor soap opera guiding light "                                                                                                                                                                                                                
[38] "instead exploring timely matter way relating current tv craze since film largely appear satire television albeit one feel appropriate s s film simply uses bettys delusions plot device get point b progress made little unearthed except maybe labute use bit rest lot contemplation "                                                                    
