 [1] "michael robbins hardball quite cinematic achievement "                                                                                                                                                                                                   
 [2] " two hours get glancing examination ghetto life funeral heartfelt eulogy speeches never giving cache cute kids including fat one asthma hardluck gambler finds salvation good woman climactic big game underdogs prove bigger bite anyone ever imagined "
 [3] " thats needed guy getting hit nuts food fight first film solely based cinematic clich s "                                                                                                                                                                
 [4] " cant wait see deleted scenes comes dvd "                                                                                                                                                                                                                
 [5] "obviously hardball strikeout movie never gets bat anywhere near ball "                                                                                                                                                                                   
 [6] " stars keanu reeves aforementioned gambler seems owe every bookie chicago amount money rivals gross national product guam "                                                                                                                              
 [7] " solutions begs successful corporate friend always welcome mike mcglone lend "                                                                                                                                                                           
 [8] "instead mcglone offers reeves chance help coach youth baseball team projects nice weekly stipend "                                                                                                                                                       
 [9] "reeves wants keep fingers accepts offer discovers mcglone happy let handle team entirely "                                                                                                                                                               
[10] " drowsyvoiced protagonist must teach sassy inner city kids baseball basics life absentee parents merciless gangs "                                                                                                                                       
[11] " maybe just maybe theyll play big championship game "                                                                                                                                                                                                    
[12] "one glorious surprises screenplay john gatins summer catch adapted daniel coyles nonfiction book arent "                                                                                                                                                 
[13] " movie coasts heartfelt moment heartfelt moment like zombie "                                                                                                                                                                                            
[14] " wouldnt bad characters ounce subtlety humanity "                                                                                                                                                                                                        
[15] " kids time spent yelling talking slang acting surprised "                                                                                                                                                                                                
[16] "theres little thats naturally amusing seem know cameras rolling "                                                                                                                                                                                        
[17] " worst lot toughtalking younger player dewayne warren whose sole purpose movie unfolds emotional pawn tactic utterly despicable cant find right words express "                                                                                          
[18] " adults also dont fare well "                                                                                                                                                                                                                            
[19] "reeves impressively uninspiring downonhisluck loser "                                                                                                                                                                                                    
[20] " character poorly written reeves gives another charismafree performance "                                                                                                                                                                                
[21] "every time speaks sounds like just got long nap gradually waking "                                                                                                                                                                                       
[22] "kids supposed rally around guy "                                                                                                                                                                                                                         
[23] "diane lane costars reeves obligatory love interest remains glowing screen presence see dog skip better proof "                                                                                                                                           
[24] " bad role consists uttering lines like kids trust dont trust anyone "                                                                                                                                                                                    
[25] " theres d b "                                                                                                                                                                                                                                            
[26] "sweeney evil rival coach john hawkes reeves scummy betting buddy unoriginal characters youve seen hope never see "                                                                                                                                       
[27] " wanted hardball good "                                                                                                                                                                                                                                  
[28] "robbins varsity blues funny alternately taut tale texas high school football ali larter smothered whipped cream jon voight sneering everything moved "                                                                                                   
[29] " havent seen robbins goofy ready rumble entirety intrigued macho man randy savage martin landau can exist movie without serious worldwide repercussions "                                                                                                
[30] "robbins obviously needs go back forte making sports movies guys cutesy cuddly pap hardball also manages annoy insult audience "                                                                                                                          
[31] "heres hoping happens immediate future "                                                                                                                                                                                                                  
