 [1] " knew years eddie murphy made brash raucous bigscreen splash hrs "                                                                                                                              
 [2] " become "                                                                                                                                                                                       
 [3] "cuddly "                                                                                                                                                                                        
 [4] " disconcerting trend begun summers cutesy largely laughfree doctordolittle continues earnesttoafault dramedy "                                                                                  
 [5] "although topbilled murphy merely support jeff goldblum plays ricky hayman programming director home shopping network "                                                                          
 [6] "sales way rickys job hangs thread meets g murphy mysterious spiritual guru desperate ricky puts air "                                                                                           
 [7] " sales skyrocket g becomes overnight sensation reinvigorated rickys greed grows endangering budding romance goodhearted media research consultant kelly preston "                               
 [8] "writer tom schulman promising ideas satirizing home shopping infomercials nature instant celebrity "                                                                                            
 [9] " ideas bite stephen herek invested energy direction film "                                                                                                                                      
[10] " sluggishly paced holyman slow overlong minutes unfunny bore murphy can little juice proceedings cleansed attitude comic sensibility made star g part straight man curiously lifeless presence "
[11] "goldblum actually quite good hard audience sustain much interest character spiritual journey director doesnt seem much interested either "                                                      
