 [1] " wish pitch meeting ridiculous notion sports film "                                                                                                                                                                                                                                                  
 [2] " bet hotshot warner brothers agent dark armani suit manicured fingernails saying light comedic version given sunday throw hoosiers angle casting gene hackman tough determined coach "                                                                                                               
 [3] "throw hunk guy keanu reeves cast wacky characters poof "                                                                                                                                                                                                                                             
 [4] "well hit hands "                                                                                                                                                                                                                                                                                     
 [5] " replacements hokey mistake football film mishmash collage onedimensional characters rampant stereotypes cultures races cliched emotional statements purpose keanu reeves wishing matrix sequel start principal photography "                                                                        
 [6] " story loosely based around pro football players strike ragtag team replacement football players taking reins professional play variety teams names like washington sentinels "                                                                                                                      
 [7] "keanu reeves stars shane falco hasbeen football college player looking redemption "                                                                                                                                                                                                                  
 [8] "gene hackman dons fedora like tom landry speaks gusto like certain coach hoosiers "                                                                                                                                                                                                                  
 [9] "rounding cast includes swingers jon favreau pitchman orlando jones gruff owner jack warden cast wacky unknown actors amazing jobs portraying perfectly stereotyped characters drunken welshman overweight sumo wrestler black convict violent cop dumb dumb cheerleaders "                           
[10] " bunch nobodies try make something taking team season playoffs unbelievable football plays gene hackman yelling asking hell dennis hopper keanu reeves looking body double making look good football field cheerleaders hired local strip club making girls coyote ugly look like waitresses dennys "
[11] " usual things happen like clockwork "                                                                                                                                                                                                                                                                
[12] " hero rises ashes failure team comes together unity hero falls love conventional love interest football games won enough schlock value make ignorant audiences cheer clap cheerleaders make want go home watch late night movies cinemax "                                                           
[13] " also shame decent directors good movies belts go seed become television sequel hacks "                                                                                                                                                                                                              
[14] "howard deutch behind camera two best films s pretty pink kind wonderful since grumpier old men caroline city episodes "                                                                                                                                                                              
[15] "obviously problem without good script director will fail end "                                                                                                                                                                                                                                       
[16] "sports films strong vehicles cinematic glory gritty tales involving honor men valiant efforts taken ultimate goal victory face insurmountable odds rise fall gallant heroes stories dramatic gusto painted blood sweat battlefield life "                                                            
[17] " replacements offers none "                                                                                                                                                                                                                                                                          
