 [1] " days witnessing deluge films based old cult tv shows "                                                                                                                                                                
 [2] " times fans shows shudder thinking hollywood hacks present memories past "                                                                                                                                             
 [3] " five six years ago werent many movies trend didnt look depressing "                                                                                                                                                   
 [4] " people like author review grew watching flintstones popular s animated series modern stone age family werent particularly worried word came live action remake "                                                      
 [5] " producer behind project steven spielberg anything else least special effects good "                                                                                                                                   
 [6] " plot revolves flintstones family set fictious stone age town bedrock whose members enjoy lifestyle s middle class america "                                                                                           
 [7] "fred flinstone john goodman works quarry one day helps best friend neighbour barney rubble rick moranis wife betty rosie odonnell adopt baby "                                                                         
 [8] " return favour barney switches results aptitude test fred based fred gets wellpaid job management "                                                                                                                    
 [9] " course just sham corrupt official cliff vandercave kyle maclachlan sultry secretary sharon stone halle berry need scapegoat embezzlement scheme "                                                                     
[10] " meantime freds wife wilma elizabeth perkins must face mother elizabeth taylor cant stand fred "                                                                                                                       
[11] " superficial level flintstones excellent job bringing animated series life "                                                                                                                                           
[12] "computer effects flawless costumes settings details authentic fans show "                                                                                                                                              
[13] "unfortunately problems film start inadequate casting rick moranis thin role barney cartoon betty used much skinnier rosie odonnell "                                                                                   
[14] " greatest problem plot precise lack plot "                                                                                                                                                                             
[15] " thirty six screenwriters made sure plot film lame original characters onedimensional many elements story like embezzlement interoffice politics totally incomprehensible little children main targeted audience film "
[16] "result almost unwatchable mess occasionally saved mostly excellent acting elizabeth perkins right mark wilma one classic example mortal hollywood disease known high concept "                                         
[17] " great hype movie quickly sank oblivion fans show returned animated version "                                                                                                                                          
[18] " film isnt bad hard core fans nostalgics can find guilty pleasure "                                                                                                                                                    
