 [1] " doesnt hardtodecipher accent doesnt always speak monotone "                                                                                                                         
 [2] " face doesnt always wear impassive expression "                                                                                                                                      
 [3] " short former nfl player turned fox sportscaster turned actor good bad bad good "                                                                                                    
 [4] "unfortunately said first star vehicle firestorm just plain awful "                                                                                                                   
 [5] "one glaring problems long made acting debut john woos broken arrow hes mediocre often blends scenery "                                                                               
 [6] " ace firefighter jesse graves long supposed playing biggerthanlife action hero kind man will crash flaming door save child parachute burning clearing rescue stupid campers "        
 [7] "unfortunately despite best efforts firsttime director dean semler photograph long using heroic shots make kevin costners work postman look stark jesse turns pretty boring good guy "
 [8] " put kindly wellwritten motion picture "                                                                                                                                             
 [9] "firestorm collection howlingly bad lines set backdrop disaster movie clich s taken together form something requires level viewer inebriation recognized plot "                       
[10] " reason film getting one star instead something lower fire sequences realistic fascinated meticulous planning must necessary stage effectively "                                     
[11] " introduced big burly hero one afternoon colleagues jump midst forest fire save group people "                                                                                       
[12] " sequence big burly hero proves hes also sensitive guy risking life save little girl dog yes dog lives broiled alive "                                                               
[13] "flashforward year "                                                                                                                                                                  
[14] "now big burly hero taking chief smokejumpers association replacing outgoing honcho wynt perkins real actor scott glenn "                                                             
[15] " day big burly heros first charge isnt going businessasusual "                                                                                                                       
[16] " group nasty escaped criminals set wyoming forest alight aid flight freedom "                                                                                                        
[17] "led randy earl shaye william forsythe sadistic creep must killed twice really die pose canadian firefighters somehow got lost across border "                                        
[18] "along way meet take hostage damsel distress suzy amis "                                                                                                                              
[19] "eventually big burly hero placed position fight fire rescue damsel distress defeat sadistic creep must killed twice really die restore order galaxy "                                
[20] "firestorms director dean semler former cinematographer won academy award work dances wolves surprise film looks good "                                                               
[21] "unfortunately thats firestorms lone asset falters near end computergenerated special effects fill screen "                                                                           
[22] " equal quality might observe nintendo video game "                                                                                                                                   
[23] " action sequences include variety chases occasionally interesting never invigorating "                                                                                               
[24] "everyone including long appears going motions "                                                                                                                                      
[25] " isnt memorable performance found beginning end unless count forest fire generates heat "                                                                                            
[26] " sadistic creep must killed twice really die william forsythe lacks panache "                                                                                                        
[27] "hes worse generic bad guy hes boring generic bad guy doesnt snappy oneliners hurl big burly hero "                                                                                   
[28] " advice scott glenn absolute power suzy amis titanic accidentally forget film next time theyre making resume "                                                                       
[29] "theres small comfort knowing early year already one entry bottom list "                                                                                                              
[30] " least hope arent worse films "                                                                                                                                                      
[31] " know wasnt one really disliked movie "                                                                                                                                              
[32] " audience filing screening loitered theater lobby catch comments "                                                                                                                   
[33] " general consensus seemed although movie sucked promotional key ring cool "                                                                                                          
[34] " problem fox wont giving key rings regular moviegoers nixes reason see firestorm "                                                                                                   
