 [1] " film worth seeing want see mick jagger looks like sporting abe lincoln beard "                                                                                                  
 [2] " rock roller asked carry film action antihero australian legend ned "                                                                                                            
 [3] "kelly socalled robin hood aussies "                                                                                                                                              
 [4] " fails convincing opinion better suited play gene kelly ned kelly "                                                                                                              
 [5] " film opens bw prologue ned kelly bravely going execution "                                                                                                                      
 [6] " goes technicolor ned seen goes flashback coming home jail year sentence see mom reacquaint large kelly family "                                                                 
 [7] " scene set "                                                                                                                                                                     
 [8] " background hear booming voice waylon jennings sings shel silversteins lyrics tells neds hatred british rule hope ireland republic "                                             
 [9] "ned says debt must paid "                                                                                                                                                        
[10] " hears voices dead father classdivided country conscience telling get revenge "                                                                                                  
[11] " begins neds romp australias outback seeking justice wrongs people suffered "                                                                                                    
[12] " begins stealing horses complaining unfair tax law horses stray favors rich landowners "                                                                                         
[13] " hes forms gang causing hide rest life police put price head two thousand pounds "                                                                                               
[14] " neds mother clarissa kaye jailed false charge abetting criminals sentenced years ned offers surrender exchange mothers freedom "                                                
[15] " authorities refuse kelly brothers go robbing rampage burning mortgages poor found postal vaults murdering soldiers "                                                            
[16] "rampaging outback gather sympathy among poor lower classes dont trust traps police "                                                                                             
[17] "spoiler follow next paragraph "                                                                                                                                                  
[18] " climax kelly gang plan ambush train british police someone kelly trusted tips police train kelly trapped saloon captured "                                                      
[19] "neds brothers commit suicide rather taken alive "                                                                                                                                
[20] " kellys gang escapes ned heroically police go brothers become decoys "                                                                                                           
[21] " flat presentation hardly touching emotional button fuss ned kellys call justice "                                                                                               
[22] "jagger didnt prayer succeeding dry script offered ian jones tony richardson "                                                                                                    
[23] " story failed focus australia seemingly british film australian "                                                                                                                
[24] " richardsons lackluster direction jagger seemed proclaim innocence vow revenge soon became shrill cry "                                                                          
[25] " want see better film ned kelly catch mad dog morgan much truer daring version dennis hopper giving much better characterization ned kellys madness something film hohum manner "
