 [1] "sometimes wonder just censors thinking "                                                                                                                         
 [2] "take film naked killer among ingredients heavy doses violence rape sequences straight lesbian sex scenes system calls coarse language "                          
 [3] " intelligent people censorship bureau choose remove case someone will get offended "                                                                             
 [4] "one word penis "                                                                                                                                                 
 [5] "thats "                                                                                                                                                          
 [6] " spite everything else movie one thing censors decide much penis "                                                                                               
 [7] " really restores youre faith system huh "                                                                                                                        
 [8] "anyway thats just side point "                                                                                                                                   
 [9] " naked killer released local independent cinemas around melbourne advertised ad nausuem hip cool controversial thriller "                                        
[10] " forgot mention isnt good "                                                                                                                                      
[11] " plot involves male cop tinam simon yam investigating series brutal murders "                                                                                    
[12] " getting haircut meets finds attracted girl named kitty chingmy yau extracting revenge man killed father falls professional killer sister cindy svenwara madoka "
[13] "realising kitty potential cindy decides train kitty several unusual ridiculous ways gives new identity "                                                         
[14] "however course investigation tinam believed kitty disappeared runs isnt quite sure "                                                                             
[15] " complicate matters actual serial killlers princess baby former students cindy told kill old master new student "                                                
[16] " action ensues "                                                                                                                                                 
[17] " well done movie "                                                                                                                                               
[18] " script awful direction place editing jerky confusing subtitling surprisingly poor "                                                                             
[19] "however stand alone pieces entertain "                                                                                                                           
[20] " shoot car park almost woolike adrenaline "                                                                                                                      
[21] " fight scenes energetic guess must get points trying something little different "                                                                                
[22] "let put way like action get something else like strong women movies get something else decide black cat hong kong female action dont get either "                
[23] "even curiosity value just isnt worth "                                                                                                                           
[24] "lets face ever movie became popular subject alone "                                                                                                              
