 [1] " confession "                                                                                                                        
 [2] "even though movie junkiei saw eye beholder yet still watch moviesive never seen original godzillas "                                 
 [3] " note godzilla sequel u s godzilla released american release godzilla flick called gojira nisen mireniamu "                          
 [4] " part excited drove local multiplex see godzilla latest entry almost year old franchise "                                            
 [5] " longawaited treat "                                                                                                                 
 [6] " expecting goofy good time complete bad dubbing science fair level sets ludicrous plot line "                                        
 [7] " last thing expected movie boring "                                                                                                  
 [8] " can imagine theatre full kids saw felt "                                                                                            
 [9] " get bad theyre good traits normally associated franchise "                                                                          
[10] " sit snoozer plot organization rorschach blot "                                                                                      
[11] " deal wasnt willing accept "                                                                                                         
[12] "hiroshi kashiwabara waturu mimuras script crams way many details many cases fails follow "                                           
[13] " maneuver disconcerting gives movie permanent logy weighty feel "                                                                    
[14] "godzilla starts destroying power plants just stops "                                                                                 
[15] " whim "                                                                                                                              
[16] " bold political statement "                                                                                                          
[17] " dont know "                                                                                                                         
[18] " foe ancient meteor looks like prudentials logo doesnt just fight beast far east "                                                   
[19] " got lifesaving powers plot erase data japan desire clone ability become spaceship kind tentacled space creature "                   
[20] "theres battle head godzilla prediction unit takehiro murata slimy government official hiroshi abe handling godzilla personal issues "
[21] " theres plucky news photographer blah blah blah "                                                                                    
[22] " like watching magnolia againexcept without good writing keen sociological insight aimee mann songs "                                
[23] " waste "                                                                                                                             
[24] " talking plot points stop hurtling godzilla jobits entertaining goes easy "                                                          
[25] " action scenes cheesy grandeur though little sluggish "                                                                              
[26] " dubbing nice awful murata sounding like hes constant need cough drop "                                                              
[27] " dialogue one line summarizes goofiness factor anyone see flying rock go "                                                           
[28] " movie also marked first time since three stooges ive heard word imbecile used casual conversation "                                 
[29] "though summer movie season drying godzilla moments wouldnt take kids see "                                                           
[30] "theyll probably end asking questions charlie rose "                                                                                  
