 [1] "last summer featurelength version avengers hit theaters tune unanimous critical panning "                                                                                          
 [2] "based famous s television show film enormous boxoffice flop huge disappointment warner bros year later studio old tricks unnecessary revival robert conrad program wild wild west "
 [3] " sounded promising tagteam star will smith director barry sonnenfeld contributed make men black financial success reins "                                                          
 [4] " costar kevin kline attached project well substantial budget spice special effects "                                                                                               
 [5] " mean possibly go wrong "                                                                                                                                                          
 [6] " answer just everything "                                                                                                                                                          
 [7] "wild wild west cinematic abomination film entirely pointless begin never given proper chance get gate "                                                                            
 [8] " lot fancy special effects handful distinguished actors try desperately tunnel inane plot make lasting impression "                                                                
 [9] " script deliriously uneven entire movie course human technical achievement chance salvage "                                                                                        
[10] " square one bizarre case casting "                                                                                                                                                 
[11] "will smith plays james west renegade cowboy originally played white actor robert conrad tv series "                                                                                
[12] " guess regarding casting africanamerican smith simple one actor cozy summertime release big bucks involved "                                                                       
[13] "smith talented performer usually brings swift assurance comic relief material ideal role "                                                                                         
[14] "hes much joker "                                                                                                                                                                   
[15] " heard initial casting included george clooney lead role frankly sounds lot plausible "                                                                                            
[16] " makes matters worse smith goes role selfassurance eyes can practically sense contentment fact knows wild wild west will huge hit summer box office "                              
[17] " plot involves west crossdressing government agent artemus gordon kevin kline assigned president recover group kidnapped scientists "                                              
[18] " trail leads diabolical dr arliss loveless kenneth branagh man lower body speaks dry witty southern accent "                                                                       
[19] "loveless taken countrys top technical minds hostage can assist deranged plan total government control using lethal superweapons destroy entire towns "                             
[20] "one weapon foot mechanical tarantula bearing eight spindly legs thrashing metal spewing enormous fireballs left right "                                                            
[21] " visual effects bring metallic bug life spectacular seamlessly blending computergenerated imagery western surroundings "                                                           
[22] "unfortunately effects seem detached story can little support films plot deficiencies undoubtedly main problem "                                                                    
[23] "wild wild west running gag never truly works "                                                                                                                                     
[24] " jokes usually care smith die arrival "                                                                                                                                            
[25] " one thing possibly saving grace performances even mostly offkilter poorly delivered "                                                                                             
[26] "kline admirable little invent silly devices spot "                                                                                                                                 
[27] "salma hayek wasted romantic interest viewed little window dressing look pretty create conflict west gordon "                                                                       
[28] "branagh esteemed shakespearean actor director adds marginal enjoyment film "                                                                                                       
[29] " even utterly weird overthetop "                                                                                                                                                   
[30] "rarely film lost wild wild west "                                                                                                                                                  
[31] " suppose theres always one turkey summer season highly anticipated bigbudget release manages completely disappoint "                                                               
[32] "wild wild west movie will probably go one biggest disappointments "                                                                                                                
[33] " highly unlikely will go defeat box office "                                                                                                                                       
[34] "perhaps audiences will less assured see will smiths name stamped summer movie "                                                                                                    
[35] " hits independence day mib wild wild west impressive addition resume "                                                                                                             
