 [1] " worst movie ive viewed far "                                                                                                                                
 [2] " avengers silly man dressed bowler hat woman wearing tight leathers evil scientists dressed teddy bear suits greater evil sir august de wynter wearing kilt "
 [3] " question gone wrong potentially great idea big name cast "                                                                                                  
 [4] " question probably asked last years stinker batman robin "                                                                                                   
 [5] " feel production got little smug script little smart direction somehow lost chaos random events collided together form movie "                               
 [6] " greatest criticism rests fact chemistry emma peel john steed thurman fiennes something vital element s tv serial name "                                     
 [7] " dialogue goes tea finer british perks allow much room character development interaction except perhaps grate viewers nerves "                               
 [8] "one wonders dynamic pair bother kissing end except pure english formality "                                                                                  
 [9] "connery sir august fair better thurman fiennes "                                                                                                             
[10] " dialogue erratic stormy weather mostly embarrassing poor quality "                                                                                          
[11] " movie prefer never see believe avengers good choice "                                                                                                       
[12] " one thing will witness product far inferior three high profile names associated title "                                                                     
[13] " understand something poorly produced released put one freak happenings nature like lightning cant see coming hits "                                         
