 [1] " films like mouse hunt get theatres "                                                                                                                       
 [2] "isnt law something "                                                                                                                                        
 [3] " diabolical load claptrap steven speilbergs dreamworks studio hollywood family fare deadly worst "                                                          
 [4] "mouse hunt takes bare threads plot tries prop overacting flatout stupid slapstick makes comedies like jingle way look decent comparison "                   
 [5] "writer adam rifkin director gore verbinski names chiefly responsible swill "                                                                                
 [6] " plot worth concerns two brothers nathan lane appalling lee evens inherit poorly run string factory seemingly worthless house eccentric father "            
 [7] "deciding check longabandoned house soon learn worth fortune set selling auction highest bidder "                                                            
 [8] " battling every turn smart mouse happy rundown little abode wanting stay way "                                                                              
 [9] " story alternates unfunny scenes brothers bickering inheritance endless action sequences two take increasingly determined furry foe "                       
[10] "whatever promise film starts soon deteriorates boring dialogue terrible overacting increasingly uninspired slapstick becomes sound fury signifying nothing "
[11] " script becomes unspeakably bad best line poor lee evens can utter another run rodent hate mouse "                                                          
[12] "oh cringe "                                                                                                                                                 
[13] " home alone ten times worse "                                                                                                                               
[14] "one touching scene early worth mentioning "                                                                                                                 
[15] " follow mouse maze walls pipes arrives makeshift abode somewhere wall "                                                                                     
[16] " jumps tiny bed pulls makeshift sheet snuggles sleep seemingly happy just wanting left alone "                                                              
[17] " magical little moment otherwise soulless film "                                                                                                            
[18] " message speilberg want dreamworks associated kind artistic credibility either give concerned mouse hunt swift kick arse hire decent writers directors "    
[19] " kind rubbish will just "                                                                                                                                   
