 [1] " thinking "                                                                                                 
 [2] "nostalgia seventies bad enough really need eighties film "                                                  
 [3] "robbie hart adam sandler used want rock roll star hes singing weddings good time "                          
 [4] " romantic heart loves weddings just get married highschool sweetie "                                        
 [5] " leaves waiting altar tune changes love stinks "                                                            
 [6] " meets waitress julia drew barrymore engaged junkbonds salesman know going get together "                   
 [7] " fact know everything going happen movie "                                                                  
 [8] "sandler somewhat adequate leading man role spark "                                                          
 [9] "barrymore doesnt seem able convey anything pretty face nothing behind beauty attitude "                     
[10] " characters just "                                                                                          
[11] "bit parts steve buscemi jon lovitz steal show "                                                             
[12] " eighties shoved face "                                                                                     
[13] "references deloreans madonna dallas ivana donald burt loni miami vice get old fast "                        
[14] " filmmakers must realized wasnt much entertainment story thought dazzle audience humorous period allusions "
[15] "theyre funny doesnt work "                                                                                  
[16] " change fronts accelerating nostalgia appears great appeal dont think years yearn past "                    
[17] "maybe can look forward film next year waxing nostalgically el nino "                                        
[18] " michael redman written column years knows nostalgia used "                                                 
