 [1] "america loves convenience "                                                                                                                                                                 
 [2] " culture invented cell phone hour atm beloved remote control "                                                                                                                              
 [3] "yet perhaps time ghosts mars taken love convenience far "                                                                                                                                   
 [4] "ghosts mars stars natasha henstridge tough nails pillpoppin martian cop sent squadron retrieve demolition williams ice cube remote mining town trial back home "                            
 [5] " comrades appropriately dubbed commander rookies guy cool accent discover towns residents slaughtered forced team williams escape remaining residents headchopping alienpossessed clutches "
 [6] "filled lovely overuse storytelling flashbacks flashessideways viewpoint changes ghosts mars hapless mishmash poorly constructed dialogue illconceived action sequences "                    
 [7] " thing keeping film becoming incomprehensible mess sheer idiotic simplicity story "                                                                                                         
 [8] "ripped straight pages s zombie movie ghosts leaps one convenient moment next stopping kill characters convenient lose "                                                                     
 [9] "attempts character interaction development rare forced "                                                                                                                                    
[10] " moments come kwikemart wisdom dispensed heartily around slushee machine life eventempered streetwise hand ice cube "                                                                       
[11] " gun one hand dynamite cap cube reminisces street life comparing zombiestomping fun brother kids "                                                                                          
[12] "apparently crime bronx gotten bad residents actually taken ritually decapitating one another entertainment "                                                                                
[13] " even films darkest moments fate conveniently lends hand supplying heavily armored transportation easily accessible rifles dynamite "                                                       
[14] "yes future man may travel space conquer mars nothing beats good stick tnt "                                                                                                                 
[15] " know every police station past present future keeps healthy supply hand "                                                                                                                  
[16] "characters die heads lopped supporting roles anyway care "                                                                                                                                  
[17] " long plenty narcotics immunity guaranteed "                                                                                                                                                
[18] "eventually though even welltrained zombie alien gets bit uppity needs taught lesson "                                                                                                       
[19] " better way sacrificing minor characters convenient nuclear detonation killing anything machine guns cant handle "                                                                          
[20] "explosions fun "                                                                                                                                                                            
[21] " even nukes dont get conveniently placed dynamite packs train stolen set road warrior certainly will "                                                                                      
[22] " end film defines cops tribunal pronounces tell us "                                                                                                                                        
[23] " indeed john carpenter run things say instead decided use whatever convenient tell ridiculously bad story "                                                                                 
