 [1] "note may consider portions following text spoilers "                                                                                                                                                                                                                                                             
 [2] " forewarned "                                                                                                                                                                                                                                                                                                    
 [3] " incredulous first heard mgm planning sequel sciencefiction flick species "                                                                                                                                                                                                                                      
 [4] "squandering intriguing premise original film turned dreadful mess widely disliked audiences critics alike nonetheless still somehow succeeded becoming financial success raking million domestic competitive summer season despite distinct lack star power cast ben kingsleys splendid actor marquee name aint "
 [5] "miraculously dodging bullet first film doubted theyd dare tempt fate go another round "                                                                                                                                                                                                                          
 [6] " comes species ii new creative team director peter medak screenwriter chris brancato step roger donaldson dennis feldman respectively fails improve series one iota like predecessor species ii fails capitalize potentially promising kernel instead runs gamut ridiculously silly unmitigatedly stupid "       
 [7] " film follows exploits young man patrick ross justin lazard whose sole focus cruising along streets order pick women loitering strip clubs generally trying bed many different ladies possibly can "                                                                                                             
 [8] " words patrick like lot guys activities describe everyday routines huge percentage men age theres catch hes astronaut recently returned seemingly successful mission mars whos now infected alien dna "                                                                                                          
 [9] "patricks overriding compulsion mate sire countless numbers gooey little alien offspring "                                                                                                                                                                                                                        
[10] " becomes aware eve natasha henstridge halfhuman halfalien clone monster first film studied government lab patricks primary focus turns two mate resulting pure strain offspring unstoppable warns dr laura baker marg helgenberger gamely reprising role admirable conviction "                                  
[11] "species ii opens mars mission space scenes remarkably unconvincing hokeylooking even splicing back dated grainy footage actual spacecraft activities really skimped production values time around "                                                                                                              
[12] "however looks positively inspired compared first appearance evil alien goo ultimately infests patrick watching slinks around command module spaceship question whether cheesy bmovie quickly answered "                                                                                                          
[13] "mr brancatos original screenplay filled outrageous lines often leaves audience stitches "                                                                                                                                                                                                                        
[14] "like first film perhaps homage theres real penchant dialogue underlines obvious "                                                                                                                                                                                                                                
[15] "last time around featured hootworthy line uttered forest whitakers psychic empath character upon entering bloodsoaked room something bad happened "                                                                                                                                                              
[16] " time laura gets stand fresh shredded corpse entails ripped mutter awful "                                                                                                                                                                                                                                       
[17] " shes even empathic "                                                                                                                                                                                                                                                                                            
[18] " psychotically horny patrick accosts supermarket shopper drags kicking screaming behind building woefullypaced suspense sequence eve whos telepathically linked alienhumanhybrid counterpart whatever helpfully tells alienhunting protagonists hes going rape "                                                 
[19] " species ii often unintentionally hilarious least occasionally demonstrates sense humour "                                                                                                                                                                                                                       
[20] "theres amusing tongueincheek bit product placement doesnt really make much sense appreciated sentiment well supermarketrelated hijinx hes aisle "                                                                                                                                                                
[21] "informs eve "                                                                                                                                                                                                                                                                                                    
[22] " film maintained sort lighthearted tone much charming enjoyable watch detriment instead takes silly plot far seriously barrels along bloody effectsladened anticlimactic conclusion "                                                                                                                            
[23] "much film fails make whole lot sense gaping plot holes terribly difficult contain suspension disbelief "                                                                                                                                                                                                         
[24] " implausibilities endless toxic bomb eves brain "                                                                                                                                                                                                                                                                
[25] " guards armed guns already know firearms ineffectual "                                                                                                                                                                                                                                                           
[26] " favourite slowmotion sequence film eve sporting superhuman strength shown tossing aside guards attempting contain look like body blocks "                                                                                                                                                                       
[27] " sort movie leaves holding head amazed disbelief incredulous foisted upon public "                                                                                                                                                                                                                               
[28] "returning headlines michael madsen reprises tough guy press lennox ms helgenberger can goofy screenplay theres realistically much one can script basis "                                                                                                                                                         
[29] "mykelti williamson portraying astronaut dennis gamble churns alltoofamiliar spin generic brashmouthed character fine character actors george dzundza playing colonel burgess looking ridiculous process james cromwell patricks neglectful father senator ross utterly wasted film "                             
[30] "mr lazard gives character appropriately shiftyeyed look returning vixen ms henstridge actually given opportunity act one scene acquits nicely mostly relegated reprising familiar role parading skimpy clothing none "                                                                                           
[31] "ms henstridge recently commented female audiences expressed appreciation character first entry species series claiming shes empowered "                                                                                                                                                                          
[32] " lethal halfalien heat dispatches sexual partners grotesque fashion now thats call empowerment "                                                                                                                                                                                                                 
