 [1] " great actor james woods said im paraphrasing sex isnt messy youre right "                                                                                                                                                               
 [2] " truly profound statement one made entire mad slasher genre just replace sex mad slasher film "                                                                                                                                          
 [3] " uninformed souls mad slasher genre subgenre melding horror exploitation elements put service plot follows identical outline usually masked always crazed killer stalks kills attractive teens la halloween "                            
 [4] "urban legend mad slasher flick one sanitary bloodless nudity free irony laden dialogue beautiful though overly talented cast closely resembles overlong wb television special "                                                          
 [5] " film makers gore one two weapons disposal stale frightfree horror movie stephen king said paraphrasing cant scare audience gross em cant make em laugh "                                                                                
 [6] "alas urban legend succeeds latter though intention "                                                                                                                                                                                     
 [7] " actually find fact film became minor success million domestic box office gross frightening anything "                                                                                                                                   
 [8] " seems audiences tastes whittled degree movie even claiming scary given benefit doubt "                                                                                                                                                  
 [9] " promotion urban legend sure promised thrills can anyone three digit iq argue provides "                                                                                                                                                 
[10] "unfortunately kinds flicks will continue produced people longer expectations one idiotic superhyped blockbuster flick another desensitized audiences point films dont need anything promise good time without added pressure delivering "
[11] " anyone disagrees love explain box office successes shit like batman robin wild wild west godzilla "                                                                                                                                     
[12] " forget goes without saying mad slasher films exploitation offshoot will made without ounce craft especially considering sheer volume produced "                                                                                         
[13] "allow present real fault mad slasher film lack enthusiastic exploitation "                                                                                                                                                               
[14] " flicks arent harnessed lofty aspirations break free give audience bloody good time "                                                                                                                                                    
[15] "sadly literally hundreds made estimate maybe three worth "                                                                                                                                                                               
[16] " urban legend certainly included amongst three "                                                                                                                                                                                         
[17] "despite considerable production value absence boom mics slipping frame just awful budget entry slasher sweepstakes "                                                                                                                     
[18] " far possibility good natured exploitation urban legends setting alone offers myriad promising possibilities takes place college campus always appropriate playground crazed killer "                                                    
[19] " see campus community made almost entirely young people midst strange hormonal surges percolating beneath surface "                                                                                                                      
[20] " young people growing together going kinds inexplicable emotional highs lows naturally weirdness expected "                                                                                                                              
[21] " better elusive crazed killer "                                                                                                                                                                                                          
[22] "coupled copious amounts scantily clad coeds running around introduction little exploitation proceedings relatively easy task "                                                                                                           
[23] " alas urban legend idiotic clich full way clean slasher flick whole family nudity little gore much stupidity "                                                                                                                           
[24] " kind movie killer drags dead victims scene crime reason dunno exercise "                                                                                                                                                                
[25] " kind movie villain calmly purses runninglikethewindprey yet still manages catch prey really awful editing techniques "                                                                                                                  
[26] " kind movie characters run just loud clash reverberates soundtrack "                                                                                                                                                                     
[27] " really wish filmmakers just retire whole loudnoisejumpscare thing "                                                                                                                                                                     
[28] "yes audience jumps momentarily frightened wouldnt anyone loud sonic boom suddenly infiltrated quiet room "                                                                                                                               
[29] " lost hope possibility genuine scares urban legend ten minutes caught glimpse killer "                                                                                                                                                   
[30] "apparently filmmakers running creative ways disguise mad slashers "                                                                                                                                                                      
[31] " scream ghost mask scary enough know last summer fisher mans rain slicker middle summer less urban legend disguise sinks level mel brooks parody villain wears oversized parka fury hood ooh scary intended conceal hisher identity "    
[32] " urban legend humbly suggest donald duck costume "                                                                                                                                                                                       
[33] "though must admit urban legend winning premise somewhat entertaining exploitation film "                                                                                                                                                 
[34] " films killer slices dices comely college students tune famous urban legends know like babysitter gets threatening phone calls find theyre coming inside house "                                                                         
[35] " wont spoil surprise urban legends used film offer fine cable viewing happen intoxicated enough "                                                                                                                                        
[36] "sad say doesnt include favorite urban legend fairly graphic antidote concerning richard gere unhappy gerbil "                                                                                                                            
[37] "now scary "                                                                                                                                                                                                                              
[38] " leave like bring attention third irritating thing film first lack craft second lack exploitation characters just annoying group people ive ever spent evening "                                                                         
[39] " jared leto looking like carbon copy rob lowe back day alicia witt resilient heroine avoid vexatiousness "                                                                                                                               
[40] " annoying bunch tie noxima girl rebecca gayheart sitcom star michael rosenbaum supremely irritating lout irritating actually cheered painful death cruel person "                                                                        
[41] "ironically aggravating sacks human waste provide entertainment film viewed vicarious fantasy urban legend can mildly entertaining "                                                                                                      
[42] " movie features kind faux hipsters cant stand getting slaughtered least better watching entire film people cant stand getting slaughtered "                                                                                              
