 [1] "writing screenplay thriller hard "                                                                                                                                                                                     
 [2] "harder pouring concrete texas sun "                                                                                                                                                                                    
 [3] "harder building bridge troubled waters "                                                                                                                                                                               
 [4] " incidentally whole heck lot harder writing movie review "                                                                                                                                                             
 [5] "thrillers variations theme "                                                                                                                                                                                           
 [6] " smart resourceful powerful bad guy goal meet "                                                                                                                                                                        
 [7] " noble brave good guy protect innocent kill bad guy get killed process "                                                                                                                                               
 [8] " trick thriller writing interesting novel manner "                                                                                                                                                                     
 [9] " simple formula can lead classic movies like north northwest high noon silence lambs big summer blockbusters like men black fugitive air force one can lead utter dreck like masterminds event horizon kull conqueror "
[10] " anyone else getting depressed "                                                                                                                                                                                       
[11] "point enough follow formula "                                                                                                                                                                                          
[12] "youve got throw something extra something good new better last version "                                                                                                                                               
[13] "something surprise move us people buy tickets popcorn happy meals "                                                                                                                                                    
[14] " hard thing absolutely necessary every way "                                                                                                                                                                           
[15] "without something extra whether great plot wellwritten screenplay great special effects great locations great casting great performances great big hungry dinosaurs movie fails "                                      
[16] "thats jackal starpower budget hype gets big fat f "                                                                                                                                                                    
[17] "bruce willis bad guy jackal legendary killer hire "                                                                                                                                                                    
[18] "richard gere good guy former ira assassin vendetta jackal "                                                                                                                                                            
[19] " jackal trying kill someone "                                                                                                                                                                                          
[20] "gere trying stop "                                                                                                                                                                                                     
[21] "will gere able stop assassination time kill jackal "                                                                                                                                                                   
[22] " ill give three guesses first two dont count "                                                                                                                                                                         
[23] " surprises awaiting audience jackal moment say wonder happens next "                                                                                                                                                   
[24] " script jackal isnt ripped straight todays headlines "                                                                                                                                                                 
[25] " ripped straight episode millennium "                                                                                                                                                                                  
[26] "throughout movie learn jackals plans intends accomplish "                                                                                                                                                              
[27] " surprise "                                                                                                                                                                                                            
[28] " fun movie like come richard gere figuring jackals plan developing clever plan foil bad guy "                                                                                                                          
[29] "instead get two count em two scenes gere sitting fbi conference room somewhere instantly divines jackals plan just hes frank black likely just hes handed copy script "                                                
[30] " never get superficial clue gere flash insight "                                                                                                                                                                       
[31] " like geres character psychic neither fbi screenwriters seem know "                                                                                                                                                    
[32] " just like millennium bad guy overwhelming need go people good guy cares whether important hes trying "                                                                                                                
[33] "whats last half movie jackal supposedly supersmart professional terrorist never makes mistake comes major case stupids "                                                                                               
[34] " performances "                                                                                                                                                                                                        
[35] "bruce willis manages get whole movie without wisecrack major achievement enough reason see movie "                                                                                                                     
[36] " disguises good good interesting val kilmers saint "                                                                                                                                                                   
[37] "richard gere made talk entire movie irish accent detracts otherwise lifeless dull performance "                                                                                                                        
[38] "sidney poitier probably disappointing element overwhelmingly disappointing movie performance bad anything sad hollywood wont use talented actor part fbi agent shoot kill sneakers "                                   
[39] "writing good plot good screenplay like said hard can done "                                                                                                                                                            
[40] " wasnt done "                                                                                                                                                                                                          
[41] " job consumers reward good screenplays denounce bad uninteresting ones "                                                                                                                                               
[42] " go see movie "                                                                                                                                                                                                        
[43] "youll encourage producers make just like "                                                                                                                                                                             
[44] "instead stay home rent day jackal line fire fire safety video crying loud "                                                                                                                                            
[45] "anything jackal lives name gnawing dead bones better movies "                                                                                                                                                          
