 [1] "senseless r marlon wayans talented physical comedian gift brings senseless moments life "                                                                                             
 [2] "alas moments simply moments enough lift fantasycomedy onejoke premise "                                                                                                               
 [3] "granted one joke initially amusing "                                                                                                                                                  
 [4] " wayanss darryl witherspoon economics major stratford university hits dire financial straits becomes guinea pig experimental drug heightens five senses "                             
 [5] " initial side effects problems controlling superhuman senses darryl learns enjoy benefits abilities uses land position highly esteemed corporate firm "                               
 [6] " point film sounds like senseful senseless turns plot darryl finds able use four five senses essentially leaving himyessenseless "                                                    
 [7] " sets showcase moments wayanss gift physical comedy especially darryl loses sense feeling body goes completely hilariously limp "                                                     
 [8] " gags gag behind entire movie quickly grows stale "                                                                                                                                   
 [9] " darryl shown without use senses instead exploring new comic territory director penelope spheeris screenwriters greg erb craig mazin take easy way simply recycle form senselessness "
[10] "wayans approaches goround gusto point hes simply treading water rest films unfunny duration "                                                                                         
[11] "senseless problematic didnt strive anything comic trifle "                                                                                                                            
[12] "however raucous often raunchy comedy wrapped blanket bogus sincerity "                                                                                                                
[13] "darryl goes experiment order help cashstrapped family serious angle seems come entirely different movie "                                                                             
[14] "unlike wayanss last starring vehicle surprisingly effective serious th man emotional content senseless forced unconvincing "                                                          
[15] " attempt anything substantial broad comedy fizzlesdarryls romance janice tamara taylor young woman yearns man true generate sparks kind "                                             
[16] " wb television sitcom wayans bros comes end genuinely funny marlon wayans promising bigscreen future ahead "                                                                          
[17] " continues associate projects flat senseless film career go way oncepromising older brother damon now set make comebackon television "                                                
