 [1] "every now reviewers faced films hard properly reviewed "                                                                                                                 
 [2] " time happens films leave overwhelming impact either good bad end reviewers must work hard express thoughts feelings "                                                   
 [3] " sometimes can happen rather trivial reasons "                                                                                                                           
 [4] " love trouble happened one occasions author review "                                                                                                                     
 [5] " impression left film wasnt overwhelming contrary hardly impression since real trouble keeping awake watching "                                                          
 [6] " surprise day movie theatre full close sound speakers show wasnt late didnt lack sleep show "                                                                            
 [7] " things happen rarely many years closest thing solution mystery probably quality film "                                                                                  
 [8] " plot revolves around two rival chicago reporters old peter brackett nick nolte young aspiring sabrina peterson julia roberts "                                          
 [9] "two assigned cover train collision "                                                                                                                                     
[10] " soon meet start scooping process discover sinister plot involving cancerogenic milk also romantic feelings "                                                            
[11] " plot film rather secondary real raison d tre romantic pairing reminiscent classical screwball comedies starring spencer tracy katharine hepburn "                       
[12] "movie author director screenwriter charles shyer experiences turning screwball spirit modern setting father bride tries time pairing old nick nolte young julia roberts "
[13] "however although chemistry two soon stops arouse interest "                                                                                                              
[14] " probably happens due poorly executed genre mix collides lighthearted romantic comedy rather uninteresting plot suitable pure action thrillers "                         
[15] "shyer director fails make proper transition two fails areas making story cliched predictable "                                                                           
[16] " end result rather forgettable effort convinced watch movie "                                                                                                            
[17] "ill give benefit doubt though "                                                                                                                                          
