 [1] " think people exist movies trust theyre real life "                                                                                                                      
 [2] " talked guy thought united states government putting satellites orbit fry individual persons brain microwaves "                                                          
 [3] " sat room full people believed government rigged state elections "                                                                                                       
 [4] " even listened man swore nicotine additive cigarette companies put products specific goal getting people addicted "                                                      
 [5] " people known conspiracy theories ideas unseen forces work deceive control public "                                                                                      
 [6] " little imagination goes long way "                                                                                                                                      
 [7] " richard donners conspiracy theory jerry fletcher mel gibson new york city cab driver seems conspiracy theory everything "                                               
 [8] " latest nasa trying kill president causing earthquake space shuttle might sound outrageous us days work "                                                                
 [9] " combs newspaper looking tidbits leave telltale warnings goingson behind scenes jerry draws conclusions "                                                                
[10] "upstanding citizen tries convince alice sutton julia roberts justice department president must warned "                                                                  
[11] "lucky gal alice met jerry saved couple muggers listen theories six months since "                                                                                        
[12] " doesnt know jerrys interest far well professional "                                                                                                                     
[13] " goes great lengths follow around watch apartment "                                                                                                                      
[14] " secret government types seem take interest jerrys ideas limitedcirculation conspiracy theory newsletter finds danger real need alices help "                            
[15] "one problems conspiracy theory tries pass actionthriller seems neither whole lot action significant number thrills "                                                     
[16] "part result films slow pace "                                                                                                                                            
[17] " takes forever set relationship jerry alice even rest film seems lot boredom every stops take break excitement "                                                         
[18] " two hours film significantly condensed running time shortened twenty minutes half hour even action scenes able save film "                                              
[19] "instead truly exciting engaging set pieces treated generic scenes requisite black elements black helicopter men black action suits body armor black vehicles know drill "
[20] " come kinds neat gadgets weapons reason guy just bunch theories chick training somehow manage elude every time "                                                         
[21] "big deal weve seen "                                                                                                                                                     
[22] "watching film wished donner least tried use little imagination luck "                                                                                                    
[23] "now say took forever set relationship jerry alice completely mean one person relative romantic involvement "                                                             
[24] "oh donner screenwriter brian helgeland like believe end movie two main characters will end falling hopelessly love seems evidence ever occurring "                       
[25] " see sparks gibson danny glover lethal weapon movies also directed donner gibson roberts conspiracy theory "                                                             
[26] " two just dont click throw number happenings cause alice reject jerry altogether like finding hes stalking subsequent attraction absolutely forced "                     
[27] " script general also seems forced like someone sat helgeland forced write took forced upon us "                                                                          
[28] "dialog undistinguished rather unmemorable point almost stopped listening "                                                                                               
[29] "even gibsons usual gift ad lib couldnt punch film sufficiently raise interest although one jerrys theories oliver stone mildly amusing "                                 
[30] "unfortunately much whats discussed film inherently important whats going instead filler starts potential ends just extraneous never followed "                           
[31] " example jerry professes man found drowned swimming pool actually murdered government new york subway station "                                                          
[32] " even goes far explain station flooded time due water main break hence water subway station coroner check mans lungs chlorine "                                          
[33] " convincing enough alice seems believe "                                                                                                                                 
[34] " know happens "                                                                                                                                                          
[35] "nothing zip nada "                                                                                                                                                       
[36] " followup whatsoever whats significance "                                                                                                                                
[37] "okay heres another one "                                                                                                                                                 
[38] " couple well known real life assassins found possessed copies j d salinger novel catcher rye "                                                                           
[39] "jerry also bunch copies "                                                                                                                                                
[40] "whenever goes bookstore buy one "                                                                                                                                        
[41] "leaving question whether makes jerry assassin never given reason believe make assassin "                                                                                 
[42] " find salinger collection goes bookstore later get answer first question "                                                                                               
[43] " point becomes totally extraneous "                                                                                                                                      
[44] "oh mention patrick stewart film "                                                                                                                                        
[45] "yeah plays government psychiatrist named dr jonas may may bad guy "                                                                                                      
[46] "thats "                                                                                                                                                                  
[47] " presence usually marvelous actor hes nearly forgettable conspiracy theory "                                                                                             
[48] " can just lump supporting players exception cylk cozart plays agent lowry fbi "                                                                                          
[49] " guy really likable wish character gotten screen time "                                                                                                                  
[50] "okay heres theory "                                                                                                                                                      
[51] " really started great film jokes actually true "                                                                                                                         
[52] " government came forced donner make edits sake national security left "                                                                                                  
