 [1] "susan grangers review american outlaws warner bros "                                                                                                                                                                                                             
 [2] "thomas edisons great train robbery first western ever made jesse james black flag first introduced outlaw folk hero "                                                                                                                                            
 [3] "now similarlythemed pictures later jesse james notorious gang outlaws ride banal mtv spin american legend "                                                                                                                                                      
 [4] " story begins jesse charasmatic colin farrell brother frank gabriel macht cole scott younger scott caan will mccormack trusty comanche tom nathaniel arcand four years fighting rebs civil war return liberty missouri discover union troops occupying hometown "
 [5] " avaricious east coast railroad baron thaddeus rains harris yulin forcing farmers sell land less true value aided allan pinkerton timothy dalton infamous detectives back just thugs provided security "                                                         
 [6] " ma james kathy bates becomes one victims jesse rest guys gregory smith ty oneal joe stevens form jamesyounger gang wreak revenge attacking railroads supply lines sabotaging track robbing banks payroll kept "                                                 
 [7] "plus theres romance jesse spunky hometown gal lee mimms ali larter "                                                                                                                                                                                             
 [8] "working politicallycorrect clich drenched sanitized revisionist screenplay roderick taylor john rodgers director les mayfield keeps action fastpaced goes lightweight laughs can "                                                                               
 [9] " choppy editing hurts russell boyds cinematography luke reichles designer duds trevor rabins music lend authenticity "                                                                                                                                           
[10] " granger movie gauge american outlaws galloping formulaic "                                                                                                                                                                                                      
[11] " wild west revisited date movie "                                                                                                                                                                                                                                
