 [1] "susan grangers review musketeer universal pictures "                                                                                                                                                                                                                                            
 [2] "hollywood launches another assault classic literature million adaptation alexandre dumass novel thats strong action weak drama fusing hong kong martial arts th century swordplay "                                                                                                             
 [3] " story chronicles adventures dashing dartagnan justin chambers leaves village gascogne headed paris join king louis xiiis elite guard royal musketeers search man killed parents years earlier "                                                                                                
 [4] " puts conflict formidable febre tim roth vicious henchman conniving cardinal richelieu stephen rea "                                                                                                                                                                                            
 [5] " traditional musketeer trio aramis nick moran athos jan gregor kremp porthos steve speirs dont offer much help turns feisty francesca mena suvari chambermaid queen france catherine deneuve "                                                                                                  
 [6] "scripter gene quintano directorcinematographer peter hyams primarily interested derringdo evidenced choreographer xinxin xiongs elaborate original stunts including fastpaced stagecoach chase tavern brawl rolling barrels highwire acrobatics combatants dangling ropes ladderfight sequence "
 [7] "filmed southern france scenery sets costumes spectacular lighting dark editing filled choppy restless mtvish cuts "                                                                                                                                                                             
 [8] " swashbuckling dartagnan bland calvin klein model justin chambers buckles swashing totally lacking onscreen charisma mention acting skill "                                                                                                                                                     
 [9] "mena suvari impressive american beauty seems like contemporary interloper royal court "                                                                                                                                                                                                         
[10] " granger movie gauge musketeer cinematic shallow "                                                                                                                                                                                                                                              
[11] " one one "                                                                                                                                                                                                                                                                                      
[12] " time round "                                                                                                                                                                                                                                                                                   
