 [1] " previews movie pretty good "                                                                                       
 [2] " show little plot characters emotional highlights spliced together give general impression script "                 
 [3] "unfortunately full movie adds nothing minutes "                                                                     
 [4] " residents mystery love hockey "                                                                                    
 [5] "mystery hockey go together like texas high school football "                                                        
 [6] " townsfolk love hockey much even acquit player whos guilty shooting another man yes thats one movies jokes "        
 [7] "every saturday best players pair game whole town comes watch "                                                      
 [8] " towns prodigal son charlie hank azaria wrote article weekly game sports illustrated "                              
 [9] "mysterys national fame town abuzz "                                                                                 
[10] " week later charlie actually shows person brings offer nhl "                                                        
[11] " new york rangers will come mystery play locals "                                                                   
[12] " mysterians see good bad "                                                                                          
[13] " one hand theyd love fame money exhibition "                                                                        
[14] " hand dont want turn butt leno letterman jokes "                                                                    
[15] " movie follows handful lives affected proposition "                                                                 
[16] "biebe russell crowe just retired team asked coach boys including new replacement "                                  
[17] "hes already resentful top charlie making eyes wife "                                                                
[18] "crowe given lot room act film hes just kind stuck constantly brooding "                                             
[19] "charlie meanwhile resentful born town hockey measure mans worth "                                                   
[20] " gift feature story new york rangers way compensating better skater "                                               
[21] " hoped earn respect merit townspeople find reasons continue disliking "                                             
[22] "burt reynolds interesting walter judge whose courtroom befouled moronic jury hockey fans "                          
[23] "walter actually experience collegiate hockey actively tries put behind "                                            
[24] " wants son take game seriously wants community just get "                                                           
[25] "reynolds good sloppy writing andor editing keep walter corner reynolds never really gets pull performance together "
[26] "one character actually interesting "                                                                                
[27] "biebes wife mary mccormack like judge understood life hockey "                                                      
[28] " unlike come accept skewed view community "                                                                         
[29] " chose town husband eyes wide open "                                                                                
[30] " unique insight verbalized lasts scene gone performance carries hint deeper wisdom "                                
[31] "mysterty alaska follows handful characters none well developed worth mentioning "                                   
[32] " biggest problem movie real heart story underlying thing movie really "                                             
[33] "instead roach screenwriters david e kelley sean obyrne try cram entire human condition sports comedy "              
[34] " try make laugh cry feel outrage pride "                                                                            
[35] " present framing cadence jokes theres nothing truly funny "                                                         
[36] " show appropriately staged scenes sadness give nothing really sad "                                                 
[37] " columnist molly ivins say hat cattle "                                                                             
[38] " perfect opportunity arises roach say movie really "                                                                
[39] " funeral scene played appropriate gravity somber music "                                                            
[40] " chance characters reflect lives decide whats truly important "                                                     
[41] "russell crowe steps forward speak spell movies metaphor us "                                                        
[42] " says really matters life community "                                                                               
[43] " adds hockey "                                                                                                      
[44] " guess mysterians really shallow appear "                                                                           
[45] " mildly bad mystery alaska probably deserves stars "                                                                
[46] " even laughed loud genuine laughs places "                                                                          
[47] " docked extra half star mike myers friend roach turned role didnt suit "                                            
[48] "myers comic character actor "                                                                                       
[49] " puts masks becomes outrageous caricature funny "                                                                   
[50] "hes great austin powers dr evil scottish characters "                                                               
[51] "nobody else mysterty alaska comic caricature "                                                                      
[52] " people feel dramatic characters semiserious roles "                                                                
[53] " roach bring myers cheap laughs shows incredible contempt toward rest cast toward audience indeed toward film "     
[54] " acknowledgment director film worth taking seriously "                                                              
