 [1] "dirtywork premise deliciously meanspirited potential "                                                                                                                                                                                                       
 [2] "mitch weaver norm macdonald lifelong best friend sam mckenna artie lange losers life constantly picked school now hold regular jobs "                                                                                                                        
 [3] " trailer goes one thing mitch weaver good atrevenge "                                                                                                                                                                                                        
 [4] " sam parlay unmatched skill gettingeven schemes marketable revengeforhire business called dirty work inc "                                                                                                                                                   
 [5] " groundwork wonderfully wicked black comedy film called dirtywork ensues rather clean spirit "                                                                                                                                                               
 [6] " fact makes mitch sam start business giddy desire give bullies taste medicine rather sappy reason sams father jack warden needs heart transplant order move top recipient list compulsively betting doctor chevy chase asks guys pay bookie "                
 [7] " scheming goes beneath every underhanded plot isgasp "                                                                                                                                                                                                       
 [8] "heart undercuts inherent nastiness premise "                                                                                                                                                                                                                 
 [9] " isnt lot nastiness displaythere different sort "                                                                                                                                                                                                            
[10] " frequent sexual references prominently form prostitutes sams impotent fathers ongoing lust "                                                                                                                                                                
[11] " film rated pg director bob saget yes bob saget fullhouse americasfunniesthomevideos fame writers frank sebastiano fred wolf macdonald stretch boundaries good taste rather fararguably bit much one two separate instances sodomy animals really necessary "
[12] " issue course much taste humoras funny "                                                                                                                                                                                                                     
[13] " answer resounding "                                                                                                                                                                                                                                         
[14] " macdonald isnt funny guy "                                                                                                                                                                                                                                  
[15] " one consistently funny performers saturdaynightlive muchtalkedabout firing dry brand smartass wit translates well big screen also doesnt hurt hes natural likable screen presence "                                                                         
[16] " able give lines nice acid touch part oneliners written flat broad slapstick gags just dont work one running gag literally tossed buildingsa real riot "                                                                                                     
[17] "still macdonalds shining moments just moments film "                                                                                                                                                                                                         
[18] " late chris farley hysterical ever amusing cameo role whole supporting players amateurish seemingly free directorial guidance "                                                                                                                              
[19] "saget tries juice proceedings kitschy cameos gary coleman adam sandler john goodman minimal novelty value prevent dirtywork sputtering end brief minute running time "                                                                                       
[20] " film closes sad note desperation indulgent reel outtakes involved production derive amusement "                                                                                                                                                             
[21] "come think imagine anyone involved production find much amusement entirety dirtywork "                                                                                                                                                                       
