 [1] " french phrase film noir literally means black film "                                                                                                                              
 [2] "webster defines type crime film featuring cynical malevolent characters sleazy setting ominous atmosphere conveyed shadowy photography foreboding background music "               
 [3] "classic film noir including memorable fare big sleep original cape fear orson welles striking touch evil employed black white photography emphasize long shadows associated genre "
 [4] "color came play neonoir films like chinatown blade runner "                                                                                                                        
 [5] " l confidential easily best film wonderful piece contemporary neonoir filmmaking "                                                                                                 
 [6] " textbook example take elements neonoir create absolute mess theres palmetto "                                                                                                     
 [7] "based just another sucker short story written british author rene raymond pseudonym james hadley chase palmetto shows happens filmmaker puts style ahead substance "               
 [8] "director volker schlondorff tin drum handmaids tale stated werent even sure long time going thriller comedy "                                                                      
 [9] " shows "                                                                                                                                                                           
[10] " palmetto preposterous taken seriously thriller ponderous work comedy "                                                                                                            
[11] " story begins journalist harry barber woody harrelson released prison "                                                                                                            
[12] "someone turned states witness revealed harry framed reward blowing lid corruption small florida town palmetto "                                                                    
[13] "bitter broke harry plans hitchhike miami start life exgirlfriend nina gina gershon appears return palmetto "                                                                       
[14] " hanging bar notices beautiful woman left purse phone booth "                                                                                                                      
[15] "harry pockets cash woman reappear catch money pocket "                                                                                                                             
[16] " problem though "                                                                                                                                                                  
[17] " radiant blonde rhea malroux elisabeth shue young wife rich older man heart problems proposition harry "                                                                           
[18] "rhea needs threatening voice someone collect ransom staged kidnapping teenage stepdaughter odette chloe sevigny "                                                                  
[19] " girls want bilk halfmillion dollar ransom old man will happily give harry helping scam "                                                                                          
[20] "things go wrong course "                                                                                                                                                           
[21] "odette found dead leaving harry frantically trying dispose corpse cover tracks "                                                                                                   
[22] " ironic twist harry asked work local d s "                                                                                                                                         
[23] "office "                                                                                                                                                                           
[24] " need press liaison field questions odettes kidnapping feel harry perfect man job "                                                                                                
[25] " bad setup noir film schlondorff knew handle material never settles consistent tone "                                                                                              
[26] " actors dont know characters either muddling proceedings even "                                                                                                                    
[27] " wasnt enough story suffers major problems logic "                                                                                                                                 
[28] "woody harrelson talented actor admirable willingness take risky parts hes lost "                                                                                                   
[29] "presented crusading journalist horribly wronged makes sense harry stupid dishonest enough get caught scheme "                                                                      
[30] "harrelson clearly doesnt know harrys character spends film glowering sweating generally acting miserable "                                                                         
[31] "meanwhile elisabeth shue gives goofy performance behaving like vamp nitrous oxide "                                                                                                
[32] " stepdaughter chloe sevigny lays many slurpy quirks comes like juliette lewis jr despite number steamy scenes theres chemistry harrelson women "                                   
[33] " make matters worse schlondorff badly dubs dialogue characters lips running others bodies "                                                                                        
[34] "two particularly bad scenes highlight films problems "                                                                                                                             
[35] " driving body trunk harry minor car wreck cop shows "                                                                                                                              
[36] " officer wants help change harrys flat tire asks open trunk "                                                                                                                      
[37] "harrys pathetic attempts keep trunk closed might worked played comedy schlondorffs grim direction scene just embarrassing "                                                        
[38] " films nadir comes bad guy prepares kill harry nina "                                                                                                                              
[39] " supposed horrified watching hero dangling bathtub filled acid point film foundered badly scene merely reminiscent jessica roger rabbit suspended vat dip "                        
[40] " palmetto played tongue firmly cheek might entertaining shaggy dog story "                                                                                                         
[41] " harsh direction schlondorff film just sluggish paintbynumbers exercise neo noir cluelessness "                                                                                    
[42] "avoid nonsense go see l confidential instead "                                                                                                                                     
