 [1] " rocksactually lots rocks fly us us slow fast motion several points film "                                                                                                               
 [2] " seem like dangerous rocks kind twirl air instead just propelling forward landonce need break space sequencesthey cause damage enough destroy chrysler building like "                   
 [3] " nary mention apocalyptic events made occur "                                                                                                                                            
 [4] " also just might interesting element armageddon steroid users answer deep impact "                                                                                                       
 [5] "bruce willis stars harry stamper famed oildriller commissioned white house nasa stop giant asteroid travels beyond zero barrier destroys planet "                                        
 [6] " oil driller "                                                                                                                                                                           
 [7] " require someone experience deepcore mining plant nuclear missile said asteroid "                                                                                                        
 [8] " one unintentionally "                                                                                                                                                                   
 [9] "hilarious sequence nasa asks harry inspect deepcore driller built based blueprints poorly constructedharry criticizes almost every aspect "                                              
[10] " trust nasa build space shuttles "                                                                                                                                                       
[11] "harry assembles obligatory ragtag bunch cowboys including blond guy fat guy black guy wiseass man sleeping daughter affleck "                                                            
[12] " reach space experience sequence sequence something going wrongperhaps fact sent bunch nincompoops outer space something count number times almost fail mission fingers toes "           
[13] "whether save day will reveal "                                                                                                                                                           
[14] " will care "                                                                                                                                                                             
[15] " will say know youre trouble deep impact dwarfs asteroid movie terms emotion scope "                                                                                                     
[16] "willis barely chance come alive ditto affleck "                                                                                                                                          
[17] " big scenes mostly reserved third act last minuteand futileattempt inject warmth material "                                                                                              
[18] "steve buscemis characterthe wiseassis exceptionally problematic "                                                                                                                        
[19] " rockhound hes called sarcastic foolish tape chair spends film "                                                                                                                         
[20] " bring begin "                                                                                                                                                                           
[21] "rather write film give "                                                                                                                                                                 
[22] " almostwitty oneliners serious willis scowls mopes demonstrates psychotic tendencies one point chases affleck shotgun screwing daughter firing often causing significant damage oil rig "
[23] "im guessing qualifies nasa guidelines someone unfit space travel least world sky blue "                                                                                                  
[24] "liv tyler pretty humourless always suspiciously four fathers bands aerosmith songs grace soundtrack "                                                                                    
[25] "director michael bay lays visual sound effects thick like ketchup eventually drowning movie onscreen "                                                                                   
[26] " middle hour nonsensical pyrotechnic assault average primates brain "                                                                                                                    
[27] "whenever someone dies movie crew member inevitably yells lost insert dead persons last name "                                                                                            
[28] " must admit distinguish dead oilguycumastronaut live one closeups corpses faces beneath cracked helmets provided little assistance skin often covered fake blood "                       
[29] "armageddon terrible movie godzilla "                                                                                                                                                     
[30] " looks nicer fewer plotholes within equally ludicrous framework "                                                                                                                        
[31] " vivid soundmix "                                                                                                                                                                        
[32] " almost twoandahalf hours believe little actually happened course story "                                                                                                                
[33] " love story played ads perhaps hoping catch people recover titanicfever "                                                                                                                
[34] "bollocks "                                                                                                                                                                               
[35] " lovers film miles apart throughouterase thoughts nude sketching carsex replace obligatory shots liv tyler tearing ben affleck dicks around mooncrawler "                                
[36] "remember little film called jaws "                                                                                                                                                       
[37] " film three independentminded men suddenly found fishing boat pursuit deadly shark "                                                                                                     
[38] " didnt much like first eventually started respect one another "                                                                                                                          
[39] "one jaws great scenes involved wouldbeahabs drinking singing songs telling stories "                                                                                                     
[40] " sort malebonding foreign bay producer jerry bruckheimer throw many characters mix expect well care grounds world end "                                                                  
[41] " get feeling characters even acquaintancesid surprised actors bothered introduce one another action called "                                                                             
[42] " male friend loved film suggested perhaps relate bunch men dont bare souls believe dying macho concepts like heroism kind chestbeating bravery "                                         
[43] " will respond boys armageddon neither heroic brave smart even team couldnt build birdhouse "                                                                                             
[44] " get respect disliking movie synthetic feeling trailera trailer movie written team bodybuilders greeting card authorsive never prouder wimp whole life "                                 
