 [1] " sit computer write review recent action comedy bait starring jamie foxx david morse "                                                 
 [2] " review dont even want write id just laying criticisms sogenericandpredictableitsbeyondridiculous piece hollywood fluff "              
 [3] " theyre going give us audience just little credit put something together half brain waste time mental energy criticising "             
 [4] "last summer took approach review mummy review just quoted phrases reviews subpar movies "                                              
 [5] " think shall thing less quotes applicable "                                                                                            
 [6] " hope goes show think bait can find need know without take wild guess "                                                                
 [7] " genuinely unfunny audience members laughed entire two hours unoriginal unthrilling "                                                  
 [8] " bad point fun watch badness bad absolute loathe pained watching just cliche uhh "                                                     
 [9] "lost train thought "                                                                                                                   
[10] "anyways heres quotes enjoy "                                                                                                           
[11] " getting audiences attention right beginning plays major role todays films work "                                                      
[12] " want something exciting watch slow buildup story god forbid film plays right mainstreams hands "                                      
[13] " review armageddon "                                                                                                                   
[14] " clear film doesnt want waste time reality thus attempt establish plausability minimal amount necessary comes across halfassed effort "
[15] "supporting characters shady supplots introduced case films made large cast characters handful real significance "                      
[16] "theres fine line separating homage plagiarism review godzilla "                                                                        
[17] " unfortunately case modern thrillers film showed potential authenticity intelligence cliches action sequences take review jackal "     
[18] "chadz movie page back heavy renovation "                                                                                               
[19] "reviews nearly mainstream movies playing today "                                                                                       
[20] "get reviews everything playing local cineplex can better make informed decision see "                                                  
[21] "dont forget vote poll sign guestbook "                                                                                                 
