 [1] " fullyloaded entertainment review website coming soon "                                                                                                                                                                
 [2] "hunter s thompsons fear loathing las vegas written already american classic merely unadulterated journey postpsychedelia s also ushered new form journalism known gonzo "                                              
 [3] "soon book written hunter s thomspon became basis character doonesbury known uncle duke "                                                                                                                               
 [4] " problem fear loathing las vegas movie "                                                                                                                                                                               
 [5] "although book one favorites now agree thompsons assessment novel unfilmable "                                                                                                                                          
 [6] " main problem book although detailing wild drug use trippedout adventures written road "                                                                                                                               
 [7] " written edited hunter s thomspons relatively sober home "                                                                                                                                                             
 [8] " although book depicts drug use still drug use told sense aloofness humor "                                                                                                                                            
 [9] "hunter s thomspon narrator always drugged still grip reality can still tell journalistic ability going around "                                                                                                        
[10] " characters fear loathing las vegas "                                                                                                                                                                                  
[11] "despite name changes one minor scene book dropped movie exact duplicate book terms dialouge "                                                                                                                          
[12] "unfortunately can get annoying form johnny depps plays thompson excessive narration "                                                                                                                                  
[13] " characters vivid personalities played d characers screen dr raoul duke johnny depp name raoul duke alias thompsons riding companion dr gonzo benicio del toro large samoan lawyer personalities emotions save stoned "
[14] " film faithful plot book dr raoul duke sent sports illustrated cover mint takes along samoan lawyer also car trunk full drugs "                                                                                        
[15] " one set stoned adventures another happens including one good scenes depp high acid watches people bar around turn literally lounge lizards "                                                                          
[16] " movie moments almost unwatchable parts especially towards end "                                                                                                                                                       
[17] "despite lot celebrity cameos stars never get ground "                                                                                                                                                                  
[18] " set decoration costumes great probably deserve oscar nomination "                                                                                                                                                     
[19] "however know sets effects make movie characters quite frankly characters good "                                                                                                                                        
