 [1] " first long list things wrong still know last summer title "                                                                                                                                                                   
 [2] "think second "                                                                                                                                                                                                                 
 [3] " last movie called know last summer wouldnt next movie still know two summers ago "                                                                                                                                            
 [4] " anyone working movie q "                                                                                                                                                                                                      
 [5] "greater five thought logically said hey "                                                                                                                                                                                      
 [6] "wait minute "                                                                                                                                                                                                                  
 [7] " alas people behind film obviously idiots wont hold "                                                                                                                                                                          
 [8] " will hold fact pretty bad movie hands even teenage slasher flick "                                                                                                                                                            
 [9] " guess im one critics actually kind liked original film emphasis kind "                                                                                                                                                        
[10] " wasnt great anything maybe even necessarily good least didnt glancing watch every minute like sequel "                                                                                                                        
[11] " just many problems movie hard trying figure start "                                                                                                                                                                           
[12] "first guess setting "                                                                                                                                                                                                          
[13] " movie offers rational reason film take place bahamas fact producers wanted seaside setting "                                                                                                                                  
[14] "exactly fisherman want go trouble faking radio contest get julie james jennifer love hewitt one survivors first film new college buddies islands hacks "                                                                       
[15] " movie suffers kind logic way "                                                                                                                                                                                                
[16] " one scene julie tanning booth deserted gym hooked fisherman slicker comes seals booth damsel distress cant get matter hard tries "                                                                                            
[17] " julie discovers shes going slowly fry death screams help friends come rescue "                                                                                                                                                
[18] "now fine dandy except one thing instead spending five minutes trying bust open booth just turn freakin thing "                                                                                                                 
[19] " another scene one characters significant decapitated man slicker says julie just dont tell anybody rained whole time "                                                                                                        
[20] "oh yeah ive just terrorized hook wielding sociopath best friends gruesomely slaughtered hey ill crack jokes anyway "                                                                                                           
[21] " script "                                                                                                                                                                                                                      
[22] " films saving graces wellexecuted suspense sequences really cool cameo reanimator jeffrey combs "                                                                                                                              
[23] " brings good comic relief life otherwise limp movie "                                                                                                                                                                          
[24] "way go jeffrey "                                                                                                                                                                                                               
[25] " hunch reason film fizzles first one least kept head water recent absence writer kevin williamson "                                                                                                                            
[26] " scream even sequel displayed real talent screenwriter "                                                                                                                                                                       
[27] " ear dialogue terrific endings puts films make standout rest horror writers think still know really suffered board "                                                                                                           
[28] " cool atmosphere still time around just didnt like characters writing much first one "                                                                                                                                         
[29] "even though movie doesnt williamson still hacky ending trying kevin first two scream s may consider spoiler seen horror movies whatsoever able guess identity madman within twenty minutes two killers time one family member "
[30] " think someone audience put best movie ended another killer back "                                                                                                                                                             
[31] "cliffhanger said time grandma "                                                                                                                                                                                                
[32] " still know tries successful first film really fails attempt "                                                                                                                                                                 
[33] " mean okay slasher movies ripoff start copying "                                                                                                                                                                               
