 [1] " requirement potential viewer certain film iq order see mission mars "                                                                                                                                                                                                                                                                                                      
 [2] " probably quite people going enjoy will probably seen films kind "                                                                                                                                                                                                                                                                                                          
 [3] " will will likely people already seen one following movies space odyssey armageddon apollo abyss close encounters third kind e t "                                                                                                                                                                                                                                          
 [4] " extraterrestrial alien aliens "                                                                                                                                                                                                                                                                                                                                            
 [5] " "                                                                                                                                                                                                                                                                                                                                                                          
 [6] " one original idea mission mars "                                                                                                                                                                                                                                                                                                                                           
 [7] " cribbed films cases better films "                                                                                                                                                                                                                                                                                                                                         
 [8] " sort thing dont mind might like film "                                                                                                                                                                                                                                                                                                                                     
 [9] " course reasons like mission mars main one script written people seem assume audience filled people havent used brains time dont intend start films running time "                                                                                                                                                                                                          
[10] " mission mars manages stupid boring time "                                                                                                                                                                                                                                                                                                                                  
[11] " plot cribbed greatly concerns team sent mars first manned trip ever made red planet "                                                                                                                                                                                                                                                                                      
[12] "luke graham don cheadle leads team jointly formed americans russians "                                                                                                                                                                                                                                                                                                      
[13] " team encounters mysterious monolith emits strange pulse nothing like pulseemitting monolith one moon try study giant sand tornado comes top swallows except luke survives long enough send garbled message back rotating space station looks strangely like rotating space station "                                                                                       
[14] " rescue mission planned husband wife team woody blake tim robbins terri fisher connie nielsen obligatory pilot troubled past jim mcconnell gary sinise extra crew member phil ohlmyer jerry oconnell along ride "                                                                                                                                                           
[15] " zerogravity dancing run problems one engines blown forcing attempt desperate landing aboard supply vessel "                                                                                                                                                                                                                                                                
[16] "now stranded mars minimal supplies team must decide whether can risk entering monolith return home "                                                                                                                                                                                                                                                                        
[17] " monolith just might contain information life originated earth "                                                                                                                                                                                                                                                                                                            
[18] " mission mars one films makes critic wonder start talking things wrong lets start one things work director brian de palma manages create eerie tension scenes middle film "                                                                                                                                                                                                 
[19] "thats "                                                                                                                                                                                                                                                                                                                                                                     
[20] "everything else fails "                                                                                                                                                                                                                                                                                                                                                     
[21] " failure isnt de palmas fault hes working atrocious script "                                                                                                                                                                                                                                                                                                                
[22] " sequence aboard ship looking awful lot like jupiter vessel rescue teams air begins running must frantically search hole patch mission mars come life "                                                                                                                                                                                                                     
[23] " scene attempt save comrade floating away space also provides tension realize entire dangermore dangerattempted rescue sequence absolutely nothing rest film just contrived way generate thrilling scenes "                                                                                                                                                                 
[24] "take plot isnt affected way "                                                                                                                                                                                                                                                                                                                                               
[25] " sequence also suffers plot holes rest film ships computer sounds strangely like hal uh able detect hole main chamber one engine "                                                                                                                                                                                                                                          
[26] " tim robbins character go outside ship solution easily presented inside "                                                                                                                                                                                                                                                                                                   
[27] "shouldnt astronauts better trained deal hull breach "                                                                                                                                                                                                                                                                                                                       
[28] " characters idiots "                                                                                                                                                                                                                                                                                                                                                        
[29] " script makes little attempt properly develop "                                                                                                                                                                                                                                                                                                                             
[30] " conflict clumsily delivered excruciatingly obvious exposition opening scene rips orson welles robert altman utilizing long opening tracking shot characters repeatedly tell things already know jim bad cant go mission determined psychologically inadequate wife died right go mission together anyone really talk like "                                                
[31] "cant find things less grating matter like maybe flashback "                                                                                                                                                                                                                                                                                                                 
[32] " whole film like "                                                                                                                                                                                                                                                                                                                                                          
[33] " filmmakers content merely show us something assume know whats going must tell us exactly looking every time "                                                                                                                                                                                                                                                              
[34] "sample dialogue film shot mars astronaut look theres mars astronaut b sure thats mars "                                                                                                                                                                                                                                                                                     
[35] "astronaut yeah thats mars right "                                                                                                                                                                                                                                                                                                                                           
[36] "astronaut c hey guys looking mars "                                                                                                                                                                                                                                                                                                                                         
[37] " exchange isnt actually mission mars wouldnt surprised "                                                                                                                                                                                                                                                                                                                    
[38] " cribbing kubrick spielberg james cameron even ron howard makers film havent learned something directors well show dont tell "                                                                                                                                                                                                                                              
[39] "de palma used know seems forgotten "                                                                                                                                                                                                                                                                                                                                        
[40] " mentallychallenged filmmaking assume audience wont get whats going explain everything five times "                                                                                                                                                                                                                                                                         
[41] "fourthgraders may appreciate learned viewers will intelligence insulted "                                                                                                                                                                                                                                                                                                   
[42] " principal actors sleepwalk way mission mars never managing away apparent im just get paycheck attitude "                                                                                                                                                                                                                                                                   
[43] "cheadle stumbles awkward lines "                                                                                                                                                                                                                                                                                                                                            
[44] "armin muellerstahl manages thoroughly embarrass unbilled cameo "                                                                                                                                                                                                                                                                                                            
[45] "robbins puts game face phones standard decent guy performance "                                                                                                                                                                                                                                                                                                             
[46] " sinise hams wistful facial expressions watching tapes dead wife played kim delaney one scene still manages deliver ridiculous dialogue heavyhanded monologue meaning life especially stolenfromnolessthanthreemovies lollipop whoever names conclusion combines endless obvious explanation subpar cgi effects gagging sentimentality sure alienate viewers enjoying show "
[47] " course aliens mars facilitated evolution life earth entirely different aliens facilitated evolution life earth aliens unknown world "                                                                                                                                                                                                                                      
[48] " said fans brainless action films might enjoy mission mars comment ignores fact film also incredibly slowgoing "                                                                                                                                                                                                                                                            
[49] "leisurely pacing might helped film little substance substance mission mars stolen films films dealt ideas much thoughtful fashion generally contained engaging characters "                                                                                                                                                                                                 
[50] "supposedly intended choke one character decides return home end one totally different onecharacterdecidesnottoreturn ending armageddon suspect people will either laughing groaning "                                                                                                                                                                                       
[51] " alternated two "                                                                                                                                                                                                                                                                                                                                                           
[52] " one good thing way mission mars finally ends fact movie "                                                                                                                                                                                                                                                                                                                  
