 [1] "ill first admit "                                                                                                                                                                     
 [2] " mention book great expectations immediately begin experiencing flashbacks junior high english class confronted torturously boring book filled people nonsensical names pip magwitch "
 [3] "yes classic literature rather dry one shoved young throat like spoonful bitter medicine "                                                                                             
 [4] "certainly experience wasnt truly bad quote ethan hawke latest movie adaptation said book im going tell story way happened ill "                                                       
 [5] "gonna tell way remember "                                                                                                                                                             
 [6] "anyway return nostalgia lane get back present hollywood trendy attempt modernize classics now presents updated film version great expectations "                                      
 [7] "instead pip time central character named finn played boy jeremy kissner ethan hawke adult "                                                                                           
 [8] "finn orphan raised unfaithful sister maggie mrs joe kim dickens boorish fisherman husband joe chris cooper "                                                                          
 [9] " setting florida coast mids "                                                                                                                                                         
[10] "finn blooming artist spends time running around beach drawing fish one two favorite subjects "                                                                                        
[11] " one escapades literally stumbles upon escaped criminal robert deniro "                                                                                                               
[12] "borrowing page superhuman max cady deniros criminal seemingly limitless lung capacity favors hiding ocean floor "                                                                     
[13] "ok maybe "                                                                                                                                                                            
[14] "thats exaggeration certainly beats houdinis records opening scenes film "                                                                                                             
[15] " thats nothing next fuel efficiency finns motorboat digress "                                                                                                                         
[16] "anyway finn convict good deed just show hes really swell guy "                                                                                                                        
[17] " plot moves "                                                                                                                                                                         
[18] "enter miss havisham "                                                                                                                                                                 
[19] "ms dinsmoor anne bancroft "                                                                                                                                                           
[20] "abandoned altar years ago ms dinsmoor epitome crazy rich old maid "                                                                                                                   
[21] " bizarre clothing eccentric mannerisms pounds makeup anne bancroft seriously overacts role "                                                                                          
[22] "although ends nowhere near believable character add humor film "                                                                                                                      
[23] "joe hired help gardening unkempt manner insane ms dinsmoor soon hires finn plaything niece estella raquel beaudene young girl gwyneth paltrow adult "                                 
[24] " apparent reason provide main plot film finn instantly stricken estella "                                                                                                             
[25] "perhaps snooty attitude utter disdain person maybe finn simply never met girl "                                                                                                       
[26] " case neither children adults chemistry simply doesnt exist two yet finn spends remainder film pining "                                                                               
[27] "even adult finn arrives new york behest mysterious benefactor reacquaints estella draws portrait nude theres nothing "                                                                
[28] " fact sexual tension helen hunt greg kinnears gay artist similar scene good gets "                                                                                                    
[29] " point audience grown cold detached estellas character couldnt care less two characters "                                                                                             
[30] " bulk blame falls upon gwyneth paltrow "                                                                                                                                              
[31] " fails imbue estella remote character book even vaguest traces humanity "                                                                                                             
[32] "theres obviously something wrong watching film youre interested big nose looks silhouette character "                                                                                 
[33] "without strong estella finns obsession seems baseless "                                                                                                                               
[34] " wish just stop whining let estella marry rival walter plane oddly subdued hank azaria just get life "                                                                                
[35] " fact two relationships work film purely tangential main plot "                                                                                                                       
[36] "finns relationship brotherinlaw joe interesting bit stereotypical "                                                                                                                   
[37] "whats fascinating interactions deniro "                                                                                                                                               
[38] "although bit part goes show much vitality strong actor can create "                                                                                                                   
[39] " apparent director alfonso cuarsn put lot work creating imagery film "                                                                                                                
[40] " shots work others obviously staged example water fountain scenes impact "                                                                                                            
[41] "finns art actually creations italian painter francesco clemente used throughout film mostly fails intended effect "                                                                   
[42] " never see finn generate style art simultaneously crude insightful "                                                                                                                  
[43] " result ends distant rest film "                                                                                                                                                      
[44] "modernizing classics currently vogue just see william shakespeares romeojuliet "                                                                                                      
[45] "simply update action modern setting apply plenty modern rock "                                                                                                                        
[46] " adornments little perk great expectations "                                                                                                                                          
[47] " much dreaded novel first read youd probably better suffering though reading watching romanceless film "                                                                              
