 [1] "synopsis wealthy cuban landowner luis banderas gets bargained sends away american bride "                                           
 [2] " new wife turn beautiful julia jolie also harbours secret past dubious merit "                                                      
 [3] "soon julia absconded luis fortune heart pursues wife cuban underworld luis begins realise turning back "                            
 [4] "review given absurdism wouldbe plot unlikely original sin turned reputable piece filmmaking regardless writer director stars "      
 [5] " heart bmovie junk lurid melodrama appeals neither brain heart nether regions "                                                     
 [6] " said original sin least become enjoyable junk filmmakers embraced trashiness indulged "                                            
 [7] "instead cristofer seems mistaken serious production directs "                                                                       
 [8] " result vapid uninteresting morass obvious crosses double crosses likely incite yawn thrill "                                       
 [9] "consider initial sex scene banderas jolie brightlylit mostly filmed looks like excerpt amateur soft porn show "                     
[10] "cristofer doesnt even manage capture allure cuba instead portraying setting steamy sensuous island paradise appears bland lifeless "
[11] " least banderas jolie manage inspire interest hints times want fun script arent given chance "                                      
[12] " said jane whose billy nebbish transparent "                                                                                        
[13] "also unwise jolie framing sequence practically gives away films denouement "                                                        
