 [1] "summer movies nature dumb affairs usually made quick enjoyment make money "                                                                                        
 [2] "wild wild west latest will smith affair follows much formula except dumber less enjoying summer movies "                                                           
 [3] "will smith plays jim west black sheriff nice line sunglasses "                                                                                                     
 [4] " called president grant kline go mission find top government scientists disappearing "                                                                             
 [5] "west paired scientist artemus gordon kline two track missing scientists legless mastermind named dr loveless branagh zany moustache "                              
 [6] " pile many negatives sorry affair ill give chance positives "                                                                                                      
 [7] "theres nice credit sequence production design bo welch pleasing eye special effects decent enough "                                                                
 [8] "theres also pleasant soundtrack "                                                                                                                                  
 [9] "buried deep dross one two amusing jokes "                                                                                                                          
[10] " salma hayek pops female interest always nice see "                                                                                                                
[11] "apart factors though nothing else wild wild west works "                                                                                                           
[12] "firstly theres little chemistry smith kline appears purely money "                                                                                                 
[13] "one expect zingers passing two none arise "                                                                                                                        
[14] " plod standard plot knowing pay cheque waiting end "                                                                                                               
[15] " even kenneth branagh provides much entertainment although top material doesnt present much opportunity branagh truly crazy "                                      
[16] "therefore just comes across loud obnoxious "                                                                                                                       
[17] " enjoyable performance comes sexy salma hayek given little screen time embarrassing "                                                                              
[18] " appears film merely show body ogled kline smith "                                                                                                                 
[19] " character also changes whim fit mechanics script sense realism character "                                                                                        
[20] " humour film also "                                                                                                                                                
[21] "will smith put little spin daft lines men black even smith save humour display "                                                                                   
[22] " script largely boils insults arent funny oneliners barely raise smirk "                                                                                           
[23] " also somewhat racist although doesnt intend one scene jim west trying wisecrack way lynching actually says slavery good save "                                    
[24] " funny scene whole thing comes rather uncomfortably "                                                                                                              
[25] " film also makes tragic mistake man case kline dress automatically unfunny isnt wild wild west makes joke even painful watch pure ineptness "                      
[26] "theres also problems plot "                                                                                                                                        
[27] "jim west artemus gordon get caught kinds sticky situations way get always unsatisfying rely purely luck rather audience pleasing skill "                           
[28] "plot elements introduced film thrown away just quickly "                                                                                                           
[29] " main piece story foot mechanical steam driven spider devised loveless looks rather impressive theres particular reason built "                                    
[30] " loveless build great big tank instead ungainly fragile piece machinery thats just begging blown "                                                                 
[31] "director barry sonnenfeld always breezy look nice camera tricks even missing stilted affair "                                                                      
[32] "wild wild west benefited sonnenfelds whacked style directing much evident making film drag even "                                                                  
[33] " sad thing four credited screenwriters talented director willing star cant make film work eventually wild wild west collapses sexist mildly racist unfunny weight "
