 [1] "phew mess "                                                                                                                                                                                                                                                      
 [2] " fifth collaboration director rich ard donner lethal weapon iiii maverick mel gibson plays motormouth maybe mentally ill new york city cabbie jerry whose wild conspiracy theories ignored alice julia roberts acting serious justice department employee crush "
 [3] " interested another person cia psychiatrist patrick stewart promptly kidnaps "                                                                                                                                                                                   
 [4] " one jerrys conjectures correct "                                                                                                                                                                                                                                
 [5] " metal strip new bill used track movements "                                                                                                                                                                                                                     
 [6] " oliver stone still alive cut deal george bush spread dis information "                                                                                                                                                                                          
 [7] " movie really crazed cabbies theories "                                                                                                                                                                                                                          
 [8] " "                                                                                                                                                                                                                                                               
 [9] " turns theres nonsense going involving revolving around jerrys background "                                                                                                                                                                                      
[10] " hint pay attention early scene jerry blacks flashes back quick succession images interrogation room hypodermic needles ms roberts "                                                                                                                             
[11] " initial premise pretty good played delightfully dizzying clip "                                                                                                                                                                                                 
[12] "mel wideropen weve ever seen characters relationship roberts initially strains credibility combined star power blissfully intoxicating "                                                                                                                         
[13] " highest wattage summer perhaps "                                                                                                                                                                                                                                
[14] "even plot contrivances begin intrude two remain randy dandy screen pair "                                                                                                                                                                                        
[15] "theres great scene jerrys fortress er apartment alice trying act casual hyperactive host tries remember combination locked coffee bean container "                                                                                                               
[16] " stores another locked con tainer fridge "                                                                                                                                                                                                                       
[17] " hilarious moments many include trio memorable conventionbreakers alice ditches tail jerry coldcocks someone later eludes foot pursuit uproariously unexpected fashion "                                                                                         
[18] " thats donners ladyhawke playing theater btw "                                                                                                                                                                                                                   
[19] "lets see pleasures include "                                                                                                                                                                                                                                     
[20] " brilliant title sequence jazzy score carter burwell worthpayingtosee sight roberts pumping lead one bad guy slamming anothers head wall "                                                                                                                       
[21] "oh pretty woman "                                                                                                                                                                                                                                                
[22] "getting latter however requires slogging increasingly overburdened ultimately unappealing story "                                                                                                                                                                
[23] " last hour conspiracy theory devolves tolerable torturous almost unwatchable "                                                                                                                                                                                   
[24] " stuff happens stupid shit variety worth mentioning except perhaps late sequence alice locating jerry abandoned wing mental hospital hearing voice carrying air ducts "                                                                                          
[25] " thought wabbit season "                                                                                                                                                                                                                                         
[26] "good god rewrites movies "                                                                                                                                                                                                                                       
[27] " arrive nondescript black vehicles "                                                                                                                                                                                                                             
