 [1] " know summer less memorable "                                                                                                                                                          
 [2] " total decent films surprise big budget failures keep appearing "                                                                                                                      
 [3] " said can pretty much predict opinion th warrior will "                                                                                                                                
 [4] " film based michael crichton eaters dead ahmed ibn fahdlan banished country looking wife king "                                                                                        
 [5] " tarveling many months comes across gang norsemen forced pick men protect town mythical monsters travel fog "                                                                          
 [6] " start picking men left without thus ahmed choosen "                                                                                                                                   
 [7] " far sounds interesting right "                                                                                                                                                        
 [8] " takes place minutes "                                                                                                                                                                 
 [9] " basically run around killing "                                                                                                                                                        
[10] " alone shows much script needed film story introduced rest film start developing "                                                                                                     
[11] "obviously thats case "                                                                                                                                                                 
[12] "even going film expecting action packed adventure will disappointed "                                                                                                                  
[13] "since action takes place fog constantly hard see scene clearly due circumstances poor camera work "                                                                                    
[14] "cant camera men sit still "                                                                                                                                                            
[15] "id like actually watch film focus failed deliver well "                                                                                                                                
[16] " film moves point can care less anything popcorn youre eating "                                                                                                                        
[17] " corny dialogue characters laugh odd reason script goes nowhere dull action sequences predictable ending worst weak characters theres basically nothing like except maybe set designs "
[18] "thats thing honestly caught interest "                                                                                                                                                 
[19] " heard john mctiernan director wanted name kept project made wonder "                                                                                                                  
[20] "well now know "                                                                                                                                                                        
[21] "crichtons greed forced mctiernan edit finished product led big arguement "                                                                                                             
[22] "whats argue anyway "                                                                                                                                                                   
[23] " film couldnt saved matter much spent casted "                                                                                                                                         
[24] "seeing films like haunting big daddy making money wouldnt surprised see th warrior become hit "                                                                                        
[25] "please favor save money costs else will lost fog like film "                                                                                                                           
