 [1] " dont think kevin kline drag funny wait til see will smith dragits even less funny "                                                                                                                                                                                                             
 [2] " time jim west smith disguised belly dancer bail captured comrade artemus gordon kline clutches evil dr loveless branagh unequivocally bored wild wild west new summer blockbuster men black director barry sonnenfeld "                                                                         
 [3] " old west really breeding ground high comedy anyway "                                                                                                                                                                                                                                            
 [4] " answer recall rustlers rhapsody back future part iii answer yes youre thinking blazing saddles movie parody western genre nineteenth century romp "                                                                                                                                             
 [5] " jim west quickdraw lawman teams brainiac federal agent gordon orders president grant kline whose impression know deadon apprehend legless loveless mad inventor plotting divvy united states sell back britain spain "                                                                          
 [6] " will loveless accomplish "                                                                                                                                                                                                                                                                      
 [7] "well hulking around desert enormous mechanical tarantula course "                                                                                                                                                                                                                                
 [8] "bosomy dance hall girl rita escobar hayek whose scientist father kidnapped loveless joins west gordon gadgetfilled train "                                                                                                                                                                       
 [9] " gordon first discovers rita cage waiting rescued "                                                                                                                                                                                                                                              
[10] "racial politics obviously prevented filmmakers pairing dull rita romantically west despite movies hip attitude toward black thing "                                                                                                                                                              
[11] " west automatically shoots anyone calls nigger person can finish speaking word "                                                                                                                                                                                                                 
[12] "super "                                                                                                                                                                                                                                                                                          
[13] " rate kept waiting rita say something humourous shes walking dressup toy "                                                                                                                                                                                                                       
[14] " single comic moment also best shot film bashfully reveals bare bumcheeks peekaboo flap pyjamas "                                                                                                                                                                                                
[15] "jim west role finally stymied will smith whose comic timing always hit miss episodes fresh prince belair demonstrate "                                                                                                                                                                           
[16] "smiths better reactor actor thoroughly engaging men blackhe didnt start hero "                                                                                                                                                                                                                   
[17] " wild wild west hes required exude eastwood cool amuse time frame one difficult feat im sure living performer pull "                                                                                                                                                                             
[18] "smith ill equipped example handle moment jim west performs standup rednecks hanging "                                                                                                                                                                                                            
[19] " attracted sonnenfeld material "                                                                                                                                                                                                                                                                 
[20] " isnt first time adapted tv show big screen addams family anyone first big stinker career director "                                                                                                                                                                                             
[21] "wild wild west poorlypaced bombast full doa gags ted levine shows general uses gramophone horn hearing aid levine played buffalo bill silence lambshes intense get intentional laugh lousy special effects bluescreening amateurishforegrounds never proportionate backgrounds frequent illogic "
[22] " wit ridiculous villain badly wants jim west way drops "                                                                                                                                                                                                                                         
[23] " onto steel platform battle generic ugly henchmen instead shooting point blank rage one many guns board tarantula "                                                                                                                                                                              
[24] "wild wild wests bright spots cool opening credits sequence bai lings alltoobrief appearance femme fatale brilliant masters voice joke part films first half clever enjoyable least second "                                                                                                      
[25] " towards seemed like end wild wild west gordon proposes idea building airplane west rejects collective groan among audience members meant going sit another loud action sequence gordon builds glider invention inevitably lead proverbial whizbang finale "                                     
