 [1] " trying satisfy every kind viewer possible sphere may end pleasing one "                                                                                                                                                                                                             
 [2] "action lovers will bored will see interminably boring setup "                                                                                                                                                                                                                        
 [3] "audience members crave intellectual fare will disgusted films sudden collapse mindless storytelling ending insulting copout "                                                                                                                                                        
 [4] "somewhere maybe theres small cadre filmgoers will appreciate spheres dubious charms im among "                                                                                                                                                                                       
 [5] " sincerely hope novel better movie longer read anything either michael crichton john grisham finished motion picture product anything go hard understand rights optioned "                                                                                                           
 [6] "sphere kind first class mess topline director alist cast can create "                                                                                                                                                                                                                
 [7] " expectations high considering another barry levinsondustin hoffman collaboration excellent wag dog still playing theaters "                                                                                                                                                         
 [8] "something bad cant help look even worse "                                                                                                                                                                                                                                            
 [9] " last time bigname bigbudget film displayed level ineptitude last years batman robin everyone knows movie received "                                                                                                                                                                 
[10] "sphere starts little like amalgamation contact james camerons abyss somewhere along way collapses cellar another recent science fiction effort event horizon "                                                                                                                       
[11] "science philosophy used good effect spheres first hour give way mindless confusing action sequences "                                                                                                                                                                                
[12] "attempts characterization fall apart "                                                                                                                                                                                                                                               
[13] "intelligent writing evident early replaced hackneyed drivel "                                                                                                                                                                                                                        
[14] "special effects take plotline devolves incoherent silliness "                                                                                                                                                                                                                        
[15] " just preparation ending inexcusably awful "                                                                                                                                                                                                                                         
[16] " timehonored deus ex machina device used worst effect "                                                                                                                                                                                                                              
[17] " left theater feeling cheated way crichton screenwriters chosen end film "                                                                                                                                                                                                           
[18] " promise setup "                                                                                                                                                                                                                                                                     
[19] " introduced norman goodman dustin hoffman psychologist wrote report government event crashed space ship discovered "                                                                                                                                                                 
[20] " one found middle nowhere feet surface pacific ocean norman called part welcoming committee "                                                                                                                                                                                        
[21] " team beth halperin sharon stone biochemist student lover harry adams samuel l jackson mathematician earned first doctorate age ted fielding liev schreiber astrophysicist awed opportunity explore alien technology harold barnes peter coyote government operative charge mission "
[22] "together five descend bowels ocean rendezvous temporary sea base ocean floor will attempt make first contact "                                                                                                                                                                       
[23] " sphere fooled thinking going take astute approach manmeetsalien situation "                                                                                                                                                                                                         
[24] " overall scenario without promise several plot twists revelation enormous craft actually american space ship apparently future offer intriguing possibilities "                                                                                                                      
[25] " right around onehour mark thats time sneak theater next door check whatevers left titanic virtually nonstop action begins starts script becomes superfluous "                                                                                                                       
[26] " might acceptable director levinson generated legitimate tension instead relies loud overbearing music strange camera angles quick cuts make things exciting "                                                                                                                       
[27] "additionally none characters wellformed common failing anything penned crichton whos interested technology people viewers dont develop much rooting interest "                                                                                                                       
[28] " makes sitting sphere frustrating pointless experience "                                                                                                                                                                                                                             
[29] " alist cast "                                                                                                                                                                                                                                                                        
[30] " surprisingly energetic performance given samuel l jackson harry isnt person hes walking plot device spouting occasionallywitty dialogue "                                                                                                                                           
[31] "dustin hoffman isnt lively particularly good ironic may worst work decade arrived theaters heels best actor nomination wag dog "                                                                                                                                                     
[32] "sharon stone peter coyote flat "                                                                                                                                                                                                                                                     
[33] " characters exhibit little evidence emotion automatons effective "                                                                                                                                                                                                                   
[34] " theres queen latifa despite getting fifth billing credits ahead liev schreiber boasts least quadruple screen time less handful lines almost nothing inflate body count "                                                                                                            
[35] " like think levinson hoffman recognizing uninspired movie likely chose make wag dog sort penance lowbudget picture filmed spheres lengthy preproduction phase "                                                                                                                      
[36] " thats case forgiveness granted "                                                                                                                                                                                                                                                    
[37] "im less inclined look favorably upon crichton although enjoyable titles resume jurassic park levinsondirected disclosure come mind "                                                                                                                                                 
[38] "even novel butchered adaptation process crichtons credit producer disallows absolution "                                                                                                                                                                                             
[39] " willing participant creative travesty "                                                                                                                                                                                                                                             
[40] " wonder sphere released february midst early years cinematic wasteland "                                                                                                                                                                                                             
[41] " deserves better get sunk unstoppable titanic plow sphere way ninthconsecutive weekend atop box office heap "                                                                                                                                                                        
