 [1] "new address "                                                                                                                                                                            
 [2] " old attitude "                                                                                                                                                                          
 [3] "dont forget recommend film read journal send nasty hate mail "                                                                                                                           
 [4] "starring bruce willis billy bob thornton liv tyler ben affleck written jonathan hensleigh j j "                                                                                          
 [5] "abrams directed michael bay "                                                                                                                                                            
 [6] " rocksactually lots rocks fly us us slow fast motion several points film "                                                                                                               
 [7] " seem like dangerous rocks kind twirl air instead just propelling forward landonce need break space sequencesthey cause damage enough destroy chrysler building like "                   
 [8] " nary mention apocalyptic events made occur "                                                                                                                                            
 [9] " also just might interesting element armageddon steroid users answer deep impact "                                                                                                       
[10] "bruce willis stars harry stamper famed oildriller commissioned white house nasa stop giant asteroid travels beyond zero barrier destroys planet "                                        
[11] " oil driller "                                                                                                                                                                           
[12] " require someone experienced deepcore mining plant nuclear missile said asteroid "                                                                                                       
[13] " one unintentionally "                                                                                                                                                                   
[14] "hilarious sequence nasa asks harry inspect deepcore driller built based blueprints poorly constructedharry criticizes almost every aspect "                                              
[15] " trust nasa build space shuttles can land twirling asteroids "                                                                                                                           
[16] "harry assembles obligatory ragtag bunch cowboys including blond guy fat guy black guy wiseass man sleeping daughter affleck "                                                            
[17] " reach space experience sequence sequence something going wrongperhaps fact sent bunch nincompoops outer space something count number times almost fail mission fingers toes "           
[18] "whether save day will reveal "                                                                                                                                                           
[19] " will care "                                                                                                                                                                             
[20] " will say know youre trouble deep impact dwarfs asteroid movie terms emotion scope "                                                                                                     
[21] "willis barely chance come alive ditto affleck "                                                                                                                                          
[22] " big scenes mostly reserved third act last minuteand futileattempt inject warmth material "                                                                                              
[23] "steve buscemis characterthe wiseassis exceptionally problematic "                                                                                                                        
[24] " rockhound hes called sarcastic foolish tape chair spends film "                                                                                                                         
[25] " bring begin "                                                                                                                                                                           
[26] "rather write film give "                                                                                                                                                                 
[27] " almostwitty oneliners serious willis scowls mopes demonstrates psychotic tendencies one point chases affleck shotgun screwing daughter firing often causing significant damage oil rig "
[28] "im guessing qualifies nasa guidelines someone unfit space travel least world sky blue "                                                                                                  
[29] "liv tyler pretty humourless always suspiciously four fathers bands aerosmith songs grace soundtrack "                                                                                    
[30] "director michael bay lays visual sound effects thick like ketchup eventually drowning movie onscreen "                                                                                   
[31] " middle hour nonsensical pyrotechnic assault average primates brain "                                                                                                                    
[32] "whenever someone dies movie crew member inevitably yells lost insert dead persons last name "                                                                                            
[33] " must admit distinguish dead oilguycumastronaut live one closeups corpses faces beneath cracked helmets provided little assistance skin often covered fake blood "                       
[34] "armageddon terrible movie godzilla "                                                                                                                                                     
[35] " looks nicer fewer plotholes within equally ludicrous framework "                                                                                                                        
[36] " vivid soundmix "                                                                                                                                                                        
[37] " almost twoandahalf hours believe little actually happened course story "                                                                                                                
[38] " love story played ads perhaps hoping catch people recover titanicfever "                                                                                                                
[39] "bollocks "                                                                                                                                                                               
[40] " lovers film miles apart throughouterase thoughts nude sketching carsex replace obligatory shots liv tyler tearing ben affleck dicks around mooncrawler "                                
[41] "remember little film called jaws "                                                                                                                                                       
[42] " film three independentminded men suddenly found fishing boat pursuit deadly shark "                                                                                                     
[43] " didnt much like first eventually started respect one another "                                                                                                                          
[44] "one jaws great scenes involved wouldbeahabs drinking singing songs telling stories "                                                                                                     
[45] " sort malebonding foreign bay producer jerry bruckheimer throw many characters mix expect well care grounds world end "                                                                  
[46] " get feeling characters even acquaintancesid surprised actors bothered introduce one another action called "                                                                             
[47] " male friend loved film suggested perhaps relate bunch men dont bare souls believe dying macho concepts like heroism kind chestbeating bravery "                                         
[48] " will respond boys armageddon neither heroic brave smart even team couldnt build birdhouse "                                                                                             
[49] " get respect disliking movie synthetic feeling trailera trailer movie written team bodybuilders greeting card authorsive never prouder wimp whole life "                                 
