 [1] " formula simple "                                                                                                                                                     
 [2] "trap varied group people isolated location pop seemingly unstoppable monster kill one one "                                                                           
 [3] " successful ingredients many good films thing alien aliens tremors name "                                                                                             
 [4] " many films following recipe end pathetically bad "                                                                                                                   
 [5] " see relic particularly putrid example "                                                                                                                              
 [6] "perhaps simply easy forget necessary binding ingredient effort ideas "                                                                                                
 [7] "deep rising meets two requirements part way enough salvage film "                                                                                                     
 [8] "treat williams finnegan leader small boat crew hire services boat activity "                                                                                          
 [9] "questions asked "                                                                                                                                                     
[10] " time however may gone far "                                                                                                                                          
[11] " passengers led ominous wes studi type multinational terrorist squads usually seen die hard films "                                                                   
[12] " cargo lets "                                                                                                                                                         
[13] "just say high explosive potential "                                                                                                                                   
[14] " target thieves "                                                                                                                                                     
[15] " argonauticus course high tech luxury cruise yacht maiden voyage "                                                                                                    
[16] " something else hunting argonauticus something "                                                                                                                      
[17] "ancient deadly "                                                                                                                                                      
[18] " time thieves arrive nearly everyone board ship killed "                                                                                                              
[19] " now creature senses fresh meat "                                                                                                                                     
[20] " thieves mercenary boat crew joining forces surviving passengers including ship owner canton anthony heald thief less lofty goals trillian famke janssen terror deep "
[21] " monster gets pick one one "                                                                                                                                          
[22] "fortunately creature particular band criminals happens dumbest world can offer "                                                                                      
[23] " else indulge petty squabbling watch friends become fish food "                                                                                                       
[24] " theres clarion call unity dont know might "                                                                                                                          
[25] " pretty easy guess will get killed "                                                                                                                                  
[26] " surprises interesting characters seem last end "                                                                                                                     
[27] " part watery tentacles seem acting audiences impulses get rid boring characters first "                                                                               
[28] " although wonder filmmakers might extended djimon hounsous life bit knew released soon acclaim amistad "                                                              
[29] "treat williams passable hero famke janssen best julia roberts impersonation "                                                                                         
[30] " wes studi anthony heald particularly slimy little rest company stand way "                                                                                           
[31] " biggest treat film however pantucci kevin j oconnors whining engineboy finnegans employ "                                                                            
[32] " constant quips may bit overwritten manage capture vein nerveaddled humor bill paxton delivered hudson aliens todd graff hippie abyss matter "                        
[33] " just stock part comicrelief character almost makes tired alien clone bearable "                                                                                      
[34] " far monster goes although cgi done well creature logical consistency "                                                                                               
[35] "think back great even just good movie monsters "                                                                                                                      
[36] " set rules "                                                                                                                                                          
[37] "part joy films slowly discovering along heroes just rules "                                                                                                           
[38] " tentacle monster deep rising doesnt set rules "                                                                                                                      
[39] " good one "                                                                                                                                                           
[40] " merely eats drinks case may rhyme reason order "                                                                                                                     
[41] " film never explains argonauticus attacked first place "                                                                                                              
[42] " simply happens "                                                                                                                                                     
[43] " action scenes decent noteworthy "                                                                                                                                    
[44] " film definitely suffer proximity titanic "                                                                                                                           
[45] "deep risings peril water scenes pale next camerons can really blame "                                                                                                 
[46] "unfortunately deep risings efforts par speed "                                                                                                                        
[47] " plus side however films closing image shows promise potentially interesting unlikely sequel "                                                                        
[48] "perhaps youd better waiting one "                                                                                                                                     
