 [1] "jessica lange one inconsistent actresses working today "                                                                                                 
 [2] " timetotime blows away audiences powerful intense performances "                                                                                         
 [3] " hand woman made jawdroppingly awful feature debut dino delaurentiis king kong "                                                                         
 [4] " much lange probably prefer moviegoers develop amnesia regarding particular entry resume every work reminiscent quality "                                
 [5] "hush one example "                                                                                                                                       
 [6] "lange bad might fun watch rest film wasnt prime example motion picture tedium "                                                                          
 [7] " film opens many socalled psychological thrillers posing light drama "                                                                                   
 [8] " introduced jackson johnathon schaech last encounter tom hanks thing helen gwyneth paltrow picture perfect young couple much love "                      
 [9] "jackson taking helen home holidays can meet mother martha lange "                                                                                        
[10] " moment first saw martha started looking fangs "                                                                                                         
[11] "soon wicked witch east plotting way son get helen pregnant involves poking hole diaphragm "                                                              
[12] " goal accomplished manipulates events expecting couple moves new york city horse farm lives "                                                            
[13] " long gets way martha perfectly amicable person helen defies declaration war "                                                                           
[14] "hush three simple problems incredibly dumb incredibly boring incredibly predictable least stupefying ending "                                            
[15] " film absolutely nothing recommend exception couple nice shots snowcovered fields quick glimpse gwyneth paltrows bare buttocks "                         
[16] "frankly embarrassing watch respected actress langes stature give performance like like bad blanche dubois role played tv version streetcar named desire "
[17] "meanwhile paltrow best get dialogue without gaping stupidity lines schaech attempts passable imitation inanimate object "                                
[18] " psychological thrillers battle lines clearly drawn "                                                                                                    
[19] " mom wife jackson caught middle "                                                                                                                        
[20] " course since schaechs character poorlydeveloped badly acted impossible say feels situation "                                                            
[21] "maybe someone ask hes familiar oedipus "                                                                                                                 
[22] "martha course evil one "                                                                                                                                 
[23] " know shes evil "                                                                                                                                        
[24] " smokes cigarettes drinks hard liquor two sure signs devil work "                                                                                        
[25] " hand helen good girl "                                                                                                                                  
[26] " evidence shes nice old ladies treasures locket picture dead parents "                                                                                   
[27] "thats character development "                                                                                                                            
[28] "beyond point hush just series increasingly hardtoswallow coincidences contrivances moronic plot twists "                                                 
[29] "however first minutes just warmup ending anticlimactic profoundly dissatisfying "                                                                        
[30] " cant imagine anyone matter thought movie whole liking conclusion "                                                                                      
[31] "either serious lastminute editing someone left pages script "                                                                                            
[32] " climax disliked hush time end credits started hated "                                                                                                   
[33] "viewers invest something every movie watch matter good bad "                                                                                             
[34] "cheating like offensive unpardonable "                                                                                                                   
[35] " entries wornout wormeaten genre arent especially good "                                                                                                 
[36] "films like consenting adults hand rocks cradle single white female rely stock plots predictable twists propel narrative along "                          
[37] " general however theyre directed degree competence assures level sustained tension "                                                                     
[38] "thats case really bad thrillers like fail generate even momentary heart palpitation characters bland plot uninvolving anyone audience care "             
[39] "indeed title movie probably refers producers hope viewers will lieu telling friends really think sorry piece celluloid "                                 
