 [1] " one question eats seeing corky romano touchstone spent much money marketing throwaway film "                                                                         
 [2] "since june havent able turn tv go movies without getting hit ad depicting chris kattan spastic corky shrieking ahas take yellow miata "                               
 [3] " disney sink much cash corky hype machine "                                                                                                                           
 [4] "honestly hoping goofball ads actually front decently funny movie "                                                                                                    
 [5] "man wrong "                                                                                                                                                           
 [6] "corky romano one throwaway clich ridden tvstartofilm vehicles built upon rickety plots "                                                                              
 [7] "fortunately chris kattans precariously positioned career corky good laughs even lowestbrow variety "                                                                  
 [8] "kattan plays title character unsinkable assistant veterinarian corky penchant sunshiny s tunes bright ties banal coffee mug slogans dont crazy work sure helps "      
 [9] " mob boss dad peter falk put away murder charges bungling lughead brothers peter berg chris penn rope innocent black sheep corky infiltrate fbi agent steal evidence "
[10] "predictably hijinks ensue "                                                                                                                                           
[11] " basic plot sounds bad wait get innerworkings clunker "                                                                                                               
[12] " writers will amaze depth inanity "                                                                                                                                   
[13] "corkys fbi agent identity named corky pissant thats pronounced peesahn "                                                                                              
[14] " french "                                                                                                                                                             
[15] " becomes firstrate agent accidentally stumbling mr magoostyle onto proper clues talking way situations plays like something sitcom "                                  
[16] " good sitcom mean "                                                                                                                                                   
[17] " romano family brothers even insult farting others face "                                                                                                             
[18] " scene taken straight theres something mary corky gives dachshund mouthtomouth resuscitation "                                                                        
[19] " complete disaster "                                                                                                                                                  
[20] " manic kattan occasionally rescue comic moments including bit featuring cat fat suit named jesus another involving schoolchildren german shephard kilo cocaine "      
[21] "plus berg whose career obviously gone downhill since last seduction chicago hope gives great turn illiterate brother paulie "                                         
[22] " nice see richard roundtree shaft fame getting work "                                                                                                                 
[23] "unfortunately cant truly appreciate animal fart jokes corky wont much offer "                                                                                         
[24] " next time one pesky ads appears tv asking corky "                                                                                                                    
[25] " can simply reply cares "                                                                                                                                             
