 [1] " much sweet returns "                                                                                                                                                                                                                                                                  
 [2] " smart horror films starting made exploitative s slasher movies starting s scream followed scream urban legend original know last summer film like still know last summer bound made sooner late "                                                                                     
 [3] " perfect example exact reason horror films temporarily burned reached lowestcommondenominator filmmaking favoring nonstop deaths gore suspense trading fleshed likable characters onedimensional nitwits "                                                                             
 [4] " exactly one year since julie james jennifer love hewitt suffered ordeal terrorized ben willis psychopathic fisherman friends accidentally hit middle road thinking dead dumped ocean "                                                                                                
 [5] "since julie relocated boston university although often paranoid haunted bad dreams able put life back together "                                                                                                                                                                       
 [6] " julies friend karla brandy called radio station answers correctly capital brazil wins vacation bahamas four people also includes karlas horny boyfriend tyrell mekhi phifer will matthew settle karla sets julie boyfriend ray freddie prinze jr also returning original doesnt show "
 [7] " reach secluded island discover last day open season will stranded th july weekend employees fend violent storm headed "                                                                                                                                                               
 [8] " course julie friends workers arent ones murderous ben willis dressed fisherman garb returns seek revenge julie "                                                                                                                                                                      
 [9] " sad state affairs movie like still know last summer made "                                                                                                                                                                                                                            
[10] " big fan horror movies especially disheartening find sequel ikwydls fan almost exact replica friday th movie "                                                                                                                                                                         
[11] " original focused story characters well genuinely suspenseful moments thanks screenplay kevin williamson didnt return write sequel shows still know "                                                                                                                                  
[12] " story speak vacuous ideas filmmakers forced murder occur every five minutes just keep audience interested "                                                                                                                                                                           
[13] "also gone signs character development since every single character died got know left stare screen indifferent going "                                                                                                                                                                 
[14] " cared fates characters original made difference sequel lived died "                                                                                                                                                                                                                   
[15] " paperthin pointless except become victims lethal hook fisherman "                                                                                                                                                                                                                     
[16] "another element made original memorable superbly crafted setpieces like store sequence sarah michelle gellar none speak sequel although come close one moment brandy "                                                                                                                 
[17] "since many people killed every couple minutes suspense scares evaporated faster salt water "                                                                                                                                                                                           
[18] "also note mystery second killer accomplice ben obvious first frame couldnt even fun like scream movies urban legend "                                                                                                                                                                  
[19] " figures just slasher films starting get recognition film come along ruin everyone else "                                                                                                                                                                                              
[20] "maybe people made still know last summer realized order make good movie must screenplayor least one isnt black hole thoughts ideas "                                                                                                                                                   
[21] " ending film inevitably leaves door wide open third part judging amazingly lackluster first sequel everyone involved quit still ahead "                                                                                                                                                
