 [1] " one see "                                                                                                                                                                                                                                                            
 [2] "well youre super smart biomolecular research scientist working military youd grope coworker roughup neighbor across street "                                                                                                                                          
 [3] "thats right "                                                                                                                                                                                                                                                         
 [4] " noncriminal possibilities brought rendering oneself invisible hollow man kevin bacons character opts commit sex crimes "                                                                                                                                             
 [5] "er kevin bacon plays super smart military biomolecular research scientist "                                                                                                                                                                                           
 [6] "something sounds horribly wrong already "                                                                                                                                                                                                                             
 [7] " paul verhoeven film sleazepin director opencrotch classics basic instinct infamous showgirls never lets little credibility get way voyeuristic tendencies come right film "                                                                                          
 [8] " hollow man features string hapless clist actors among bacon elisabeth shue josh brolin kim dickens gradez plot lot special effects frankly dont look much better used version invisible man "                                                                        
 [9] "oh bacon glistens gets wet right looks like rather fatty side cheap flank steak hes attempting reentry otherwise lots thermal shots inanimate objects elisabeth shue included bobbing around without visible signs support "                                          
[10] "since invisibility achieved isnt much effect actors spend half time conversing nobody half time talking otherit amounts much muchness director elects wardrobe female protagonists looselybuttoned sweaters minute bacons character gets invisible can head straight "
[11] " fascinating conceptwhat one see "                                                                                                                                                                                                                                    
[12] "simply verhoeven ploy show skin "                                                                                                                                                                                                                                     
[13] " horror film hollow man unsophisticated disturbing intent achievements worth time hardearned dollars "                                                                                                                                                                
[14] " minor verhoevenand even thats saying muchand boy hollow "                                                                                                                                                                                                            
