 [1] " seem glued "                                                                                                                                                                                                                                                                                                            
 [2] " "                                                                                                                                                                                                                                                                                                                       
 [3] "starring jason biggs seann william scott chris klein thomas ian nichols allyson hannigan shannon elizabeth natasha lyonne tara reid mena suvari eugene levy jennifer coolidge "                                                                                                                                          
 [4] "directed j b rogers "                                                                                                                                                                                                                                                                                                    
 [5] "rated r "                                                                                                                                                                                                                                                                                                                
 [6] "american pie reunites cast members american pie different setting instead high school seniors looking score graduate now past first year college gathered beach house enjoy summer lives "                                                                                                                               
 [7] "jim jason biggs still insecure geek looking improve performance oz chris klein still sweetest guy block sickeningly saccharine phone conversations studyingabroad girlfriend stifler seann william scott still horny stoner kevin thomas ian nichols still personality finch eddie kaye thomas still longs stiflers mom "
 [8] " missed anyone "                                                                                                                                                                                                                                                                                                         
 [9] " obviously much changed "                                                                                                                                                                                                                                                                                                
[10] " problem provided movie boasts rapidfire hilarity unexpectedly true sentiment original "                                                                                                                                                                                                                                 
[11] " american pie definition sequelitis "                                                                                                                                                                                                                                                                                    
[12] " coarser yes pushes envelope even heart isnt "                                                                                                                                                                                                                                                                           
[13] " easy cash capitalize first films success worthier investment prolong franchise coming something original "                                                                                                                                                                                                              
[14] "part reason film doesnt work think original kids quest sex comingofage stepping stone much outlet horniness "                                                                                                                                                                                                            
[15] " everything cheapened "                                                                                                                                                                                                                                                                                                  
[16] " behave like idiot frat boys kill drinking motivation except sex sex beer sex "                                                                                                                                                                                                                                          
[17] "thats say cant make decent comedy premise one american pie s undoings "                                                                                                                                                                                                                                                  
[18] "missing sweetness permeated american pie thiscouldbeyou quality main players "                                                                                                                                                                                                                                           
[19] " characters aware popculture icons theyre even onenote "                                                                                                                                                                                                                                                                 
[20] "stifler finch now caricatures jim oz kevin forced make awkward selfdiscoveries arbitrary moments none betraying writers think audiences want see "                                                                                                                                                                       
[21] " theres soontobenotorious scene jim superglues perfectly demonstrates yet another films ailments one also permeated say isnt director j b rodgers debut "                                                                                                                                                                
[22] "theres fine line comedy abject humiliation american pie wrong side "                                                                                                                                                                                                                                                     
[23] " hard laugh characters profoundly embarrassed "                                                                                                                                                                                                                                                                          
[24] " shielded eyes watching watching horror movie "                                                                                                                                                                                                                                                                          
[25] " theres one redeeming factor american pie inimitable eugene levy jims dad pops jim hes score utters lines like mother known get frisky "                                                                                                                                                                                 
[26] " much anymore "                                                                                                                                                                                                                                                                                                          
[27] " girls parents walk blurts must daughter "                                                                                                                                                                                                                                                                               
[28] " didnt get name hopefully son "                                                                                                                                                                                                                                                                                          
[29] " rest movie wit wisdom levys performance "                                                                                                                                                                                                                                                                               
[30] " unworthy sequel grossfest brought back raunchy teen comedy "                                                                                                                                                                                                                                                            
[31] " boxoffice onw keep genre going strong disappointing "                                                                                                                                                                                                                                                                   
[32] " genre needs hiatus filmmakers getting lazy "                                                                                                                                                                                                                                                                            
