 [1] "ugh sums movie "                                                                                                                
 [2] "just ugh "                                                                                                                      
 [3] " original godzilla movies somewhat cult classic reviewing previous films film certain degree intelligence "                     
 [4] " reason found enviable cult following spite bad special effects horrible dubbing man lizard suit maintained certain degree put "
 [5] "dignity "                                                                                                                       
 [6] " quite word im looking "                                                                                                        
 [7] " understand right "                                                                                                             
 [8] " years godzilla maintained degree whatever "                                                                                    
 [9] "leave america screw whole thing "                                                                                               
[10] " geniuses brought us independece day arguably worst scifi movie time ruin whatever reputation godzilla "                        
[11] " bring us eyepopping special effects will amaze lost center original godzilla movies storyline "                                
[12] "summing movie simple "                                                                                                          
[13] "heck can one sentence giant lizard attacks giant city bunch nobodies stop "                                                     
[14] "simple "                                                                                                                        
[15] "matthew broderick stumbles lines hard picture hank azaria role besides classic dogwalking character television show mad "       
[16] " dialogue seems improvized almost rehearsel done "                                                                              
[17] " can see scene set right now "                                                                                                  
[18] " right "                                                                                                                        
[19] " spent money making big special effects weve gotta get movie summer going bomb faces "                                          
[20] " actors just say ever comes top head right "                                                                                    
[21] "make something mkay "                                                                                                           
[22] "good "                                                                                                                          
[23] "roll film "                                                                                                                     
[24] " special effects enough keep interested one viewing cinemtography welldone scene black umbrellas comes mind "                   
[25] "still hour will become antsy wondering long can drag "                                                                          
[26] " drag "                                                                                                                         
[27] " laugh "                                                                                                                        
[28] " slogan film size matter "                                                                                                      
[29] " think cut short "                                                                                                              
[30] " read size matter "                                                                                                             
[31] "acting "                                                                                                                        
