 [1] " going jim carrey "                                                                                        
 [2] "viewers televisions living color know oneman cartoon characters fire marshall bill "                       
 [3] "viewers also know living color skitshow little jim carrey goes long way "                                  
 [4] "unfortunately fact forgotten makers carrey comedy ace ventura pet detective "                              
 [5] "three writers including carrey worked slapstick story sends selfstyled pet detective trail stolen dolphin "
 [6] " missing mammal belongs miami dolphins need mascot upcoming superbowl "                                    
 [7] " plot porpoises story works well three stooges short "                                                     
 [8] "carrey gets official schtick snoops around greater miami "                                                 
 [9] " leers sneers craning neck funny effect "                                                                  
[10] " even captain kirk impersonation "                                                                         
[11] " "                                                                                                         
[12] " pretty harmless stuff point realize writers absolutely intention focusing anyone carrey "                 
[13] " suggested alternate titlejim carrey will anything laugh "                                                 
[14] "export france may hit "                                                                                    
[15] " stands ace ventura isnt even good kids stuff "                                                            
[16] " profanity count alone high "                                                                              
[17] " ironic since children probably carreys best audience "                                                    
[18] " film doesnt even goofball charm chris elliotts recent nobrainer cabin boy "                               
[19] "sure carrey moments "                                                                                      
[20] " can say film whose highpoints include watching carrey slink around theme mission impossible "             
[21] "ace ventura one glaring incongruity "                                                                      
[22] "amid buttjokes doubletakes script takes great pains setup elaborate rather funny crying game gag "         
[23] " intended audience takes ahem cojones "                                                                    
