 [1] " working title looking back long time nothing new rarely apt name motion picture "                                                                                                            
 [2] "even though movie clocks relatively skinny minutes seems run long enough engulf two titanics "                                                                                                
 [3] "writerdirector edward burns trotted hackneyed storyline trajectory will instantly recognizable anyone hasnt spent life seclusion "                                                            
 [4] "instead tweaking formula little invigorate proceedings burns content allow film ramble aimlessly towards irritatingly predictable conclusion offering precious momentary pleasures along way "
 [5] " looking back dominated three dislikable characters whose constant presence screen painful "                                                                                                  
 [6] " appropriate ending triple suicide sooner better "                                                                                                                                            
 [7] "alas thats case stick film entire length will forced endure prolonged company wretched trio "                                                                                                 
 [8] " depress audiences burns shot entire film cold rainy days gray new york state beach town "                                                                                                    
 [9] "peeks sunshine far "                                                                                                                                                                          
[10] " wonder characters miserable "                                                                                                                                                                
[11] "first charlie burns generation x slacker abandoned girlfriend three years ago abortion spent time bumming around california deciding come home "                                              
[12] " girlfriend claudia lauren holly picking pieces life following charlies departure moved shacking one charlies old school buddies mike jon bon jovi "                                          
[13] " two comfortable relationship apparent even blind person theyre right "                                                                                                                       
[14] "claudia years spice life mike wants settle children "                                                                                                                                         
[15] " charlie reenters mix "                                                                                                                                                                       
[16] " anyone will claudia end "                                                                                                                                                                    
[17] " cares "                                                                                                                                                                                      
[18] " looking back goes extraordinary lengths make sure especially interested outcome romantic triangle "                                                                                          
[19] " one finds happiness characters dont deserve anyway especially wasting minutes time "                                                                                                         
[20] " arent real people theyre writers construct stumbling tooobvious storyline "                                                                                                                  
[21] " know ending well "                                                                                                                                                                           
[22] " burns given audience credit presented plot least offered surprise two "                                                                                                                      
[23] "another frustrating thing looking back burns populated film group potentiallyinteresting supporting characters "                                                                              
[24] "blythe danner solid claudias housebound mother connie britton suitably highstrung claudias neurotic sister jennifer esposito eyecatching bartender search little romance "                    
[25] "sadly get quick glimpses lives although movie far intriguing story burns chosen tell "                                                                                                        
[26] "none lead performers going wow critics thespian attributes "                                                                                                                                  
[27] "edward burns pushing edge limited range "                                                                                                                                                     
[28] "jon bon jovi shows acting ability one might reasonably expect singer branching different career still use little polish "                                                                     
[29] " worst case lauren holly presents completely bland claudia "                                                                                                                                  
[30] " portrayed shes hardly kind woman inspire even moments interest mention undying love "                                                                                                        
[31] "burns ex monumentally untalented maxine bahns hardpressed less inspired job "                                                                                                                 
[32] " released brothers mcmullen edward burns revered wunderkind sundance film festival robert redford apparently stuck aging actordirector executive produced mess "                              
[33] "two films three short years later luster faded "                                                                                                                                              
[34] " movie makers one good film "                                                                                                                                                                 
[35] " back toback duds like shes one looking back follow delightful brothers burns beginning look like member undistinguished club "                                                               
