 [1] " admit "                                                                                                                                                                               
 [2] " thought arnold schwarzenegger knack comedy made twins true lies "                                                                                                                     
 [3] "watching jingle way wondered anyone ever thought carry lame movie targeted susceptible kids "                                                                                          
 [4] " one thing scare crap kids pg kindergarten cop parents let small children see movie will explain themes violence alcohol consumption burglary racism child molestation "               
 [5] " know theyll burst tears arnold punches one santas elves "                                                                                                                             
 [6] " later decks reindeer "                                                                                                                                                                
 [7] "hey man dont just kick easter bunny nuts youre "                                                                                                                                       
 [8] "jingle way formula crap follows someone falls ass must funny school thought "                                                                                                          
 [9] "arnold sinbad phil hartman crash ground times movie special olympics hockey team movie dredges cliche less believability successive scene "                                            
[10] " can expect movie whose entire premise two parents cant find rare toy christmas eve will anything get one "                                                                            
[11] "arnold course one parents crack salesman never son "                                                                                                                                   
[12] " races office sons karate game find missed "                                                                                                                                           
[13] " kid distrusts hes never around "                                                                                                                                                      
[14] " gee havent seen movie "                                                                                                                                                               
[15] "arnold absentee father becomes convinced way buy back sons affection get turboman doll wife rita wilson will never breadwinner hanks household choosing roles like told get weeks ago "
[16] " arnold sets find turboman turns rare tickle elmo jingle way came "                                                                                                                    
[17] "let back minute arnolds kid totally obsessed turboman character unhealthy beyond belief "                                                                                              
[18] "watches show eats cereal sleeps freakin turboman sheets "                                                                                                                              
[19] "id try discourage obsession lest kid seeing movie think wonderful thing con dad racing buy toy want "                                                                                  
[20] " nooooo climax jingle way arnold dressed turboman parade exonerating wrongdoing eyes wife son dont recognize last minute "                                                             
[21] " sad movie way gets worse opening scenes arnold mailman sinbad stampeding store racing mall hooking santa jim belushi runs bootleg toy factory "                                       
[22] " painful watch scene radio station sinbad holds cops letter bomb beating deejay embarrassed martin mull said giving away turboman doll "                                               
[23] "capitalism produced pretty evil things chia pets ode excess violent consumerism one shameful "                                                                                         
[24] "never mind subplot perfect neighbor phil hartman trying seduce wilson arnold shopping cookies incredible main plot movie sends message okay whatever takes get hands want "            
[25] "maybe thats christmas like schwarzenegger house mine "                                                                                                                                 
