 [1] " movie written man deemed one hottest writers hollywood "                                                                                                                                                                                                                                                                                                                                           
 [2] " wrote groundbreaking screenplay scream added successful know last summer "                                                                                                                                                                                                                                                                                                                         
 [3] "script mix also created popular tv series dawsons creek "                                                                                                                                                                                                                                                                                                                                           
 [4] " asked direct first movie based first ever script written everyone grandma said sure go "                                                                                                                                                                                                                                                                                                           
 [5] "uhhm question anyone bother reading stupid script "                                                                                                                                                                                                                                                                                                                                                 
 [6] "plot ace student leigh ann watson mistakenly caught cheating papers bitchiest teacher west mrs tingle set lose scholarship college "                                                                                                                                                                                                                                                                
 [7] " friends visit teacher home order explain side story end tying slowly trying talk sense hardheaded woman "                                                                                                                                                                                                                                                                                          
 [8] "critique much bad movie fact sucks "                                                                                                                                                                                                                                                                                                                                                                
 [9] " movie chockfull onedimensional characters contains actual humor able zone zero tension thrills plot holes size big ass lame pop tunes played mask nothing going movie molly ringwald vivica fox lesley anne warren tossed away throwaway roles "                                                                                                                                                   
[10] " primed film interesting premise thinking misery unfortunately williamson went nowhere bright foundation making references exorcist dr "                                                                                                                                                                                                                                                            
[11] "zhivago doubt many target market will appreciate "                                                                                                                                                                                                                                                                                                                                                  
[12] " also forgot suspense characters based incomprehensible decisions unbelievable motivations simply boring us trite dialogue "                                                                                                                                                                                                                                                                        
[13] "sure katie holmes cute costar marisa coughlan reasonably amusing impression exorcist worth two points three ten can forgive biggest onedimensional character film holmes rival film mrs tingles complete unprofessionalism let go others around teachers allowed behave way nowadays transparent romance holmes longhaired dude hired poor mans version skeet ulrich poor mans version johnny depp "
[14] " movie laughable provided insight anything demonstrated williamsons genuine lack directorial skills alongside juvenile script provided helen mirren great role chew unfortunately forgetting give character believability humanity capacity comprehend "                                                                                                                                            
[15] " hip lines cheap thrills just dull time movie theater "                                                                                                                                                                                                                                                                                                                                             
[16] " want see funny teenage movie go see detroit rock city thank drunken sorry ass morning "                                                                                                                                                                                                                                                                                                            
[17] "little known facts film stars kevin williamsons father fisherman "                                                                                                                                                                                                                                                                                                                                  
[18] "kevin used knowledge fishing hooks winches creating killer know last summer "                                                                                                                                                                                                                                                                                                                       
[19] " also huge fan steven spielberg coincidentally dawson leery tvs dawsons creek show kevin created "                                                                                                                                                                                                                                                                                                  
[20] " aspiring actor "                                                                                                                                                                                                                                                                                                                                                                                   
[21] " fact even landed bit part tvs another world "                                                                                                                                                                                                                                                                                                                                                      
[22] "also williamson gone record say unsupportive english teacher told never amount anything inspiration mrs tingle also loosely based book killing mr griffin writer know last summer "                                                                                                                                                                                                                 
[23] "lois duncan "                                                                                                                                                                                                                                                                                                                                                                                       
[24] " also come said gay man "                                                                                                                                                                                                                                                                                                                                                                           
[25] "helen mirren born london england name ilynea lydia mironoff "                                                                                                                                                                                                                                                                                                                                       
[26] " married director taylor hackford whose works include devils advocate officer gentleman "                                                                                                                                                                                                                                                                                                           
[27] " film originally titled killing mrs "                                                                                                                                                                                                                                                                                                                                                               
[28] "tingle changed columbine high school shooting incident "                                                                                                                                                                                                                                                                                                                                            
[29] "actress marisa coughlan will star kevin williamson next tv project called wasteland "                                                                                                                                                                                                                                                                                                               
[30] " actor barry watson first full feature film "                                                                                                                                                                                                                                                                                                                                                       
[31] " played character seth tvs malibu shores several times "                                                                                                                                                                                                                                                                                                                                            
