 [1] " slight romantic comedy feminist bent one edge "                                                                                                                        
 [2] " turns conventional film filled usual clich s stock characters genre "                                                                                                  
 [3] "though wellwritten wellacted fluff piece still much say surprising "                                                                                                    
 [4] " made gentle arthouse set dont want something disturbing think "                                                                                                        
 [5] " critically successful writer husband alec pryce selfabsorbed hes threatened department store floorwalking model wife kate bouquet wants writer "                       
 [6] " meets crass publisher vanni corso walken another selfabsorbed man predictable relationship occurs "                                                                    
 [7] " fireworks occur outgrows husbands first impressions someone impressed genius worships feet "                                                                           
 [8] " now wants identity independence "                                                                                                                                      
 [9] " film looked like usual sitcom stuff plagued cheap set design features reserved tv movie "                                                                              
[10] " film sagged middle story weight tedium eventually landed rear end unspectacular climax "                                                                               
[11] " set london opens model kate rebuffs sexual advances wealthy american shopper vanni "                                                                                   
[12] " later meets hubbys new upstart publisher seeks intellectual author husband stable order give credibility publisher quality quickly wins favor publishing vanity novel "
[13] "alec obnoxious grouse someone seems impossible live tries everything stop wife book publishedwhich pushes grasping arms vanni "                                         
[14] " publisher proud hes mammas boy never married selfmade man earned millions "                                                                                            
[15] " recently acquired failing old london publishing house plans revitalize proudly tells kate father sell pizzas harlem sell culture europe "                              
[16] " thing couldnt sold stiff story tired plot line "                                                                                                                       
[17] " mystery lovely kate like either man unless insensitive dummy "                                                                                                         
[18] " soon divorces beleaguered alec marries soontobecomebeleaguered vanni "                                                                                                 
[19] " writes second novel rebuffs way first hubby "                                                                                                                          
[20] " ends results happened hubby number one story ambition lust winds whimper "                                                                                             
[21] " business affair loosely based reallife literary romantic travails married authors barbara skelton cyril connolly celebrated s love triangle "                          
