 [1] " cried babe "                                                                                                                                                                    
 [2] " admit "                                                                                                                                                                         
 [3] " special effects story great dialogue woven together delicately successfully mind lost track childrens film much yes got little overly sentimental "                             
 [4] " friend power cinema "                                                                                                                                                           
 [5] " word came using newly developed fx doctor dolittle update eddie murphy plays title character many great comic actors supply voices anticipation rose great expectations "       
 [6] " cant possibly drop ball one "                                                                                                                                                   
 [7] "cant miss "                                                                                                                                                                      
 [8] "cant possibly miss "                                                                                                                                                             
 [9] " missed "                                                                                                                                                                        
[10] " went wrong "                                                                                                                                                                    
[11] " much thought supply three general rules "                                                                                                                                       
[12] " dont let television actressturnedcomedy movie director near urbanite script e penny marshalls dreadful preachers wife "                                                         
[13] "betty thomas worked wonders brady bunch movie sitcomairiness doesnt quite work "                                                                                                 
[14] " lifted generic sitcom iced light doses modern rb "                                                                                                                              
[15] "take away black cast take away atrocious soundtrack residue mids kirk cameron show "                                                                                             
[16] " greater cast less individual castmember e "                                                                                                                                     
[17] " con air "                                                                                                                                                                       
[18] " great comic voices jenna elfman garry schandling john leguizimo ellen degeneres gilbert godfried lineup nothing improvise underdeveloped stereotyped characters onelineatatime "
[19] " even worse sometimes voices unrecognizable dont get satisfaction linking voice comedian credits "                                                                               
[20] "now three character actors get special treatment albert brooks brings dignity nearly every project hes scenes depressed tiger resonate certain poignancy "                       
[21] "norm mcdonald fares nearly well stray dog learns bond dolittle "                                                                                                                 
[22] " theres little humor "                                                                                                                                                           
[23] " rests shoulders chris rock sorely miscast unfunny voice wiseass guinea pig "                                                                                                    
[24] "even mouth illsynched "                                                                                                                                                          
[25] " dont let special effects technicians walk away script "                                                                                                                         
[26] "theres certain timing thats mandatory comedy "                                                                                                                                   
[27] " timing usurped brilliancy computer generated mouths lifelike creations jim hensons creature shop travesty "                                                                     
[28] " say special effects filled comedies muppet movies arent welltimed laughfests right director can "                                                                               
[29] " betty thomas clearly head "                                                                                                                                                     
[30] " wish commend special effects theyre merely average "                                                                                                                            
[31] "count number times animals mouth turned away camera far notice illsynched "                                                                                                      
[32] " less babe look whos barking clone "                                                                                                                                             
[33] " may wondering eddie murphy fare "                                                                                                                                               
[34] "well came back exceptional nutty professor dont doubt can come back "                                                                                                            
[35] " hes tied straight man given little "                                                                                                                                            
[36] " exceptions fears hes going crazy far cry smarterthanyoud expect routine hes adept "                                                                                             
[37] " unfortunate richard pryor ten years ago making lame comedies without bite given early years "                                                                                   
[38] " whats left "                                                                                                                                                                    
[39] "butt jokes "                                                                                                                                                                     
[40] " lot butt jokes "                                                                                                                                                                
[41] " guess kids may funny stonefaced "                                                                                                                                               
[42] " theres lesson film may telling us animals feelings care way much butt "                                                                                                         
