 [1] "seen december p m glenwood movieplex cinemas oneida ny theater free free pass "                                                                                 
 [2] "theater rating good seats sound picture "                                                                                                                       
 [3] " many philosophies fascinated cartoons "                                                                                                                        
 [4] " provide method total escapism anything will work within context outrageous slapstick looney tunes intensity japanimation "                                     
 [5] "watching flubber really clinched idea just live action cartoon presents regular comedy "                                                                        
 [6] " proves painfully unfunny gags slapstick reality important actually story "                                                                                     
 [7] " film wastes time establishing lighthearted cartoony atmosphere "                                                                                               
 [8] " meet medfield college chemistry professor phillip brainard williams typical supposedly likable mad scientist "                                                 
 [9] "within first minutes get least half dozen jokes forgetful "                                                                                                     
[10] "phillips memory loss seems less like cartoony gag like real case alzhiemers disease isnt rather lowbrow comedy "                                                
[11] " starts teaching chemistry walking nude figure drawing class inappropriate joke kids movie ever saw one "                                                       
[12] " learn stood fiancee sara harden twice altar simply hes forgotten "                                                                                             
[13] "sara claims love says forgets wedding shell stop loving sign childish attitude film denies "                                                                    
[14] " even cartoons must conflicts resolve surprise major conflicts related "                                                                                        
[15] "christopher mcdonald even worse version usual villain shtick wilson croft scientist wants steal phillips ideas woman "                                          
[16] "whats worse sara actually seems interested "                                                                                                                    
[17] "wilson works rival college wants buy medfield going broke unless phillip can invent something save day "                                                        
[18] "one first rules filmmaking make sure title something film "                                                                                                     
[19] " flubber played gags introduced forgotten thereafter "                                                                                                          
[20] " obvious phillip going accidentally invent flubber flying rubber compound yields tremendous energy promotions make flubber look realistic funny "               
[21] "unfortunately flubber like special effects film looks fake unconvincing "                                                                                       
[22] "flubber also seems intelligence personality time performs song dance routine give wondering life spontaneously come inanimate object "                          
[23] " film wanders aimlessly relies flubber make comedy since phillips absentmindedness forgotten somehow push story along "                                         
[24] " clear weak premise getgo film just gets worse "                                                                                                                
[25] " jokes involve people getting hit fastmoving flubberpowered objects including bowling balls flying cars dont fly well basketball team capable jumping feet air "
[26] " presented complete logic one believes flubber exists even see eyes "                                                                                           
[27] " basketball scene coach rival team actually says think might cheating referee replies theres rules jumping high "                                               
[28] " predictable doesnt begin describe motions film goes especially halfway point "                                                                                 
[29] " terribly contrived plot way broken scenebyscene absolutely transition "                                                                                        
[30] " actors especially williams seem bored tears "                                                                                                                  
[31] "id say percent scenes shot bluescreen almost forgivable realize theyre talking nothing interacting nothing "                                                    
[32] " safe say everything bad flubber "                                                                                                                              
[33] " original element film worlds first romance machine human "                                                                                                     
[34] " aspect quite twisted think like rest film wont "                                                                                                               
