 [1] " nothing unabashedly romantic films "                                                                                                                                    
 [2] " done right least slightly evident restraint can engaging sweeping appealing "                                                                                           
 [3] " hell shame someone botches badly nora ephron botched sleepless seattle hollow boring romance appeal gullible viewers ones willing buy ephrons whiny views life romance "
 [4] "tom hanks meg ryan two hollywoods likeable stars play sam baldwin annie reed repectively "                                                                               
 [5] "baldwins wife recently died moved seattle son jonah seeking get away familiar surroundings remind late spouse "                                                          
 [6] "jonah senses tension calls talk radio show tell world problems "                                                                                                         
 [7] "sam seems ready strangle son calling show gets phone begins pouring heart "                                                                                              
 [8] "ephron annie reed meg ryan can hear "                                                                                                                                    
 [9] "annie happy woman "                                                                                                                                                      
[10] " engaged walter allergyprone working man seems perfectly content "                                                                                                       
[11] " hearing sam widower radio show becomes convinced destiny willing risk engagement "                                                                                      
[12] "five years movie hit theaters hanks ryan ephron team far better although still subpar romantic comedy youve got mail people hate real life falling love internet "       
[13] " least movie sense spontaneity "                                                                                                                                         
[14] " seems first one hundred minutes exist solely set last five "                                                                                                            
[15] " fact sam annie will finally meet excruciatingly obvious everything else perfunctory "                                                                                   
[16] "sleepless seattle full wonderful performers two leads supporting stars like bill pullman rosie odonnell "                                                                
[17] " none can save film bore "                                                                                                                                               
[18] " characters dull empty script isnt funny particularly charming "                                                                                                         
[19] " script fundamental problem annie gives little reason life walter pursue sleepless seattle never even seen "                                                             
[20] " kind life decision real people dont make major unforgivable plausibility sacrifice "                                                                                    
[21] " essence movies purpose head towards goal shouldnt even exist "                                                                                                          
[22] " ten minute short film ninetyfive minutes filler "                                                                                                                       
[23] " show sleepless seattle didnt review just call asleep philadelphia "                                                                                                     
[24] " eugene novikov "                                                                                                                                                        
