 [1] " makers spawn created something almost vacuous summers comic book adaptation batman robin "                                                                                 
 [2] " films make mistake adapting screen look graphic counterparts also monosyllabic dialogue emptyheaded character motivations "                                                
 [3] " panelsized morsels implausible plots rambo esque dialogue often overshadowed artwork thirty foot silver screens much difficult dismiss shallowness behind pretty pictures "
 [4] "spawn ostensibly assassin named simmons white framed corporate baddie played without irony sheen set fire left dead "                                                       
 [5] "though movie skimps next plot points heres determine said assassin becomes leader satans army tutelage flatulating midget named clown leguizamo grating always "            
 [6] " renamed reasons unbeknownst spawn granted really cool costume enables become something human chameleon "                                                                   
 [7] " spawn spies birthday party child realizes cant evil superdemon hes expected sets avenging untimely death "                                                                 
 [8] "typical summer blockbusters spawn effectsladen ninety minute rock video "                                                                                                   
 [9] " visions hell laughably crude think virtual reality sequences lawnmower man spawns prehensile outfit action sequences truly something behold "                              
[10] " storytelling completely lacking emotion spawn longs wife dont single scene together simmons death conflict will triumph anybodys guess believability expected "            
[11] " many questions left unanswered im sure wont addressed inevitable sequel "                                                                                                  
[12] " last years crow city angels suffered similar problems narrative lazy somewhat incoherent atmosphere spare genuine moments hypnotic power "                                 
[13] "spawn inyourface screaming banshee film guys know graft comic book onto celluloid havent faintest idea make movie "                                                         
