 [1] "note may consider portions following text spoilers "                                                                                                                                                                                                                                                                                                                                    
 [2] " forewarned "                                                                                                                                                                                                                                                                                                                                                                           
 [3] " assess alex coxs film winner loser indolent "                                                                                                                                                                                                                                                                                                                                          
 [4] " derisive "                                                                                                                                                                                                                                                                                                                                                                             
 [5] " glib "                                                                                                                                                                                                                                                                                                                                                                                 
 [6] " dismissive "                                                                                                                                                                                                                                                                                                                                                                           
 [7] " entirely accurate "                                                                                                                                                                                                                                                                                                                                                                    
 [8] "rarely seen film excruciatingly annoying winner wouldbe comedy quickly proves tedious unfunny unengaging "                                                                                                                                                                                                                                                                              
 [9] " film attempts fresh quirky utilising myriad colourful characters weave absurd tale appears overlook fact nobody film remotely interesting characters essentially preposterous "                                                                                                                                                                                                        
[10] " film set las vegas focus winner philip vincent donofrio aloof naive young man blessed odd gift luck virtually lose tables "                                                                                                                                                                                                                                                            
[11] "despite prodigious talent philip perpetually mournful quite indifferent gambling fortunes neither taking joy winnings foresight mask abilities "                                                                                                                                                                                                                                        
[12] "consequently becomes easy target ride upon coattails take advantage talent "                                                                                                                                                                                                                                                                                                            
[13] "louise rebecca demornay sultry lounge singer insinuates philips life purpose swindling philips estranged brother conveniently louises exbeau johnny michael madsen arrives scene "                                                                                                                                                                                                      
[14] " add colour johnny also happens toting fathers corpse sans one hand "                                                                                                                                                                                                                                                                                                                   
[15] "meanwhile philip also befriended trio lowrent opportunists frank whaley billy bob thornton richard edson every intention taking advantage new buddys gift dice "                                                                                                                                                                                                                        
[16] "serenely overlooking chaos behind scenes casino owner delroy lindo probably giving away much reveal role winner essentially alluded end flashy sequence martin scorseses casino details organization hierarchy casinos operations eye sky "                                                                                                                                             
[17] " maddening endure film whose central protagonist oblivious ongoing blatant manipulation fortunately case winner sadsack hero sap even remotely sympathetic compelling becomes impossible root philip even care fate wouldbe swindlers philips fortunes drawn ludicrous transparent buffoons entirely unimaginative uninteresting schemes one watches winner complete sense disinterest "
[18] " shame winner features talented cast mr donofrio underrated gifted actor huge range mr lindo remarkable screen presence infiltrates every film appears mr madsen ms demornay mr whaley done good work past "                                                                                                                                                                            
[19] "none actors winner top form film wont likely prized addition respective resumes "                                                                                                                                                                                                                                                                                                       
[20] "director alex cox can wendy riss screenplay credit film point feels like adaptation stage play startled learn winner fact based upon one "                                                                                                                                                                                                                                              
[21] " tedious film wellpaced meander nearimpossible task mr cox matter virtually director comes mind overcome films widespread shortcomings plot characterization "                                                                                                                                                                                                                          
[22] " credit understanding chosen distance project acknowledgement deficiencies "                                                                                                                                                                                                                                                                                                            
[23] " caught winner world premiere toronto international film festival september fairness entirely possible film extensively revamped since due lacklustre audience reaction generated walkouts film others screened "                                                                                                                                                                       
[24] " honest though couldnt begin isolate done film improve assume throwing whole thing starting question "                                                                                                                                                                                                                                                                                  
[25] " winner apparently played cable television united states beginning limited theatrical release time writing "                                                                                                                                                                                                                                                                            
[26] " film nice upbeat score pray rain honestly facetious state thing treasured screening winner bag popcorn upon munching "                                                                                                                                                                                                                                                                 
