 [1] " scenes big hit awful simply defy description "                                                                                                                                                                           
 [2] " movie infected kind blunderheaded idiocy misplaced confidence made last action hero chore sit "                                                                                                                          
 [3] "presumably big hit actioncomedy difficult impossible genre pull "                                                                                                                                                         
 [4] "movies sort require fine balance careful tone comedy usually meant work catharsis violence "                                                                                                                              
 [5] " lethal weapon perfect example action thriller also funny "                                                                                                                                                               
 [6] "unfortunately big hit seems comedy main motive violence intended punctuate laughs "                                                                                                                                       
 [7] "unfortunately laughs "                                                                                                                                                                                                    
 [8] " movie resembles goofy throwaway ridiculousness early jackie chan films doesnt benefit chans incredible stunts goofy charismatic presence "                                                                               
 [9] "instead left lot digital effects mark wahlberg must considered invincible criticallyacclaimed performance last years boogie nights "                                                                                      
[10] "however wants maintain decent career better start selecting projects carefully movies like surefire recipe long career straighttovideo market "                                                                           
[11] "wahlberg plays melvin smiley amiable guy also happens professional hitman see grosse pointe blank character much better developed "                                                                                       
[12] " movie wants us think gee clever ironic guy can kill without moral implications yet cant stand anyone like "                                                                                                              
[13] " fact melvin desperate keep people liking puts obnoxious fiancee christina applegate horrendous new york accent abusive girlfriend lela rochon using money "                                                              
[14] " constant bending backwards please people makes complete patsy best thoroughly unbelievable character worst "                                                                                                             
[15] "melvin employed exclusively crime boss named paris avery brooks part team hitmen also includes cisco lou diamond phillips crunch bokeem woodbine "                                                                        
[16] "one day melvin agrees moonlighting cisco kidnapping teenage daughter rich japanese mogul named jiro nishi sab shimono million dollar ransom "                                                                             
[17] "however jiro nishi lost money producing big hollywood movie inside joke get kidnapped daughter keiko china chow also happens paris goddaughter "                                                                          
[18] " paris finds shes kidnapped takes personally becomes determined find "                                                                                                                                                    
[19] " knowing cisco actually behind whole scheme paris puts charge rooting kidnapper "                                                                                                                                         
[20] " course cisco blames whole thing poor innocent melvin "                                                                                                                                                                   
[21] "along way several obligatory gunfights explosions car chases plus literal cliffhanger inspired jurassic park completely unconvincing romance melvin keiko looks like shes barely pushing fifteen "                        
[22] " movie passes humor resorts thoroughly unfunny jokes overweight jewish mothers harakiri drinking problems leaking body bags running gag crunch recently discovered pleasures masturbation now spends time hand exercises "
[23] " mention pimply video store clerk always calling melvin screeching needs return copy king kong lives two weeks overdue "                                                                                                  
[24] " mess movie helmed chekirk wong latest hong kong director imported john woo faceoff also served executive producer "                                                                                                      
[25] "woo needs stop acting conduit directors start making films "                                                                                                                                                              
[26] "wong directed films rocknroll cop back hong kong completely tone deaf comes comedy "                                                                                                                                      
[27] "maybe jokes vexatious video clerks vomiting people funny across ocean theyre least manner wong handles "                                                                                                                  
[28] "many problems can traced back script penned obvious freshman writer ben ramsey "                                                                                                                                          
[29] " addition vague characterizations uninspired action sequences ramseys script assaults audience attempts copy vulgar poetic rhythms tarantino mametstyle dialogue "                                                        
[30] " comes just lot annoying blather spews lips lou diamond phillips whose favorite phrase love robin dunne plays ciscos stuttering blackwannabe assistant "                                                                  
[31] " irritation factor phillips dunne combined almost scale can pretty much describe film whole "                                                                                                                             
