 [1] " judge film bad intentionally "                                                                                                                                                                                                                                        
 [2] " spiceworld highly popular singing group spice girls accomplish major goal mocking purposely cheezy film lot fun "                                                                                                                                                     
 [3] " goal fantastic job "                                                                                                                                                                                                                                                  
 [4] " fair give low grade wasnt really meant much better "                                                                                                                                                                                                                  
 [5] "honestly id rather see film many others gave higher grades mean graded inaccurately "                                                                                                                                                                                  
 [6] "truth known dont really think can answer question "                                                                                                                                                                                                                    
 [7] " understand spiceworld understand spice girls "                                                                                                                                                                                                                        
 [8] "unless youre young fairly older probably least heard "                                                                                                                                                                                                                 
 [9] "theyre group five busty british babes whove hit singles whose debut album sold millions "                                                                                                                                                                              
[10] "theyre primarily adored preteen girls hope someday contents training bras might match ginger spices real name geri haliwell wonderbra "                                                                                                                                
[11] " five girls spicy names better known real names "                                                                                                                                                                                                                      
[12] " aforementioned ginger spice well sporty spice melanie chisholm mel c scary spice melanie brown mel b baby spice emma bunton posh spice victoria addams degree another resemble stage names "                                                                          
[13] " spice girls took world storm spiceworld actually good humored spoof transpired quick rise fame "                                                                                                                                                                      
[14] " quite nice see good sports girls just one dubbed sporty poking fun "                                                                                                                                                                                                  
[15] " dont take seriously thats probably best thing "                                                                                                                                                                                                                       
[16] " also surprising natural seem front camera acting just singing dancing "                                                                                                                                                                                               
[17] "theyre flawless means part deliver lines without feeling staged like get sense five home within characters seems reasonable since portray "                                                                                                                            
[18] " makes film bad extreme fans spice girls wont get enough music rest us dont get enough movie "                                                                                                                                                                         
[19] " real point look spice girls ninety straight minutes "                                                                                                                                                                                                                 
[20] " film blas several parts downright boring sporadic moments actually make us laugh loud "                                                                                                                                                                               
[21] " youre big fan group probably wont get enough want youre big fan get much time devoted nothing look us moments "                                                                                                                                                       
[22] " right crowd music video sequences will highlights film others will serve threeminute lulls hecticbutoveralluneventful storyline "                                                                                                                                     
[23] " key actors include richard e grant clifford spice girls manager alan cumming filmmaker piers cuthertonsmyth attempts make documentary group george wendt martin barnfield producer constantly works pitching spice girls movie roger moore small selfparodizing role "
[24] " provide relatively good performances keeping mind film wasnt meant acted seriously "                                                                                                                                                                                  
[25] "even meat loaf shows dennis bus driver seems fun "                                                                                                                                                                                                                     
[26] " film continuously compared beatles hard days night think unjust comparison "                                                                                                                                                                                          
[27] " supposedly movie studio first mad comparison way press kits dont think drector bob spiers spice girls intended "                                                                                                                                                      
[28] " think studios just trying boost hype interest film instead come rather pretentious "                                                                                                                                                                                  
[29] " dont think film trying anything fun satirical look group got big movie seemed next likely step "                                                                                                                                                                      
[30] " couldve better selfindulged yet self mocking approach "                                                                                                                                                                                                               
[31] "probably nothing "                                                                                                                                                                                                                                                     
[32] "spiceworld movie thought embarrassing enjoy now instead find wanting defend movie didnt even give good review "                                                                                                                                                        
[33] " bad succeeds every way intended "                                                                                                                                                                                                                                     
[34] " gives spice girls chance play allowing obsessive fans indulge every brainless moment "                                                                                                                                                                                
[35] "perhaps group nothing gimmick "                                                                                                                                                                                                                                        
[36] " thats case movies gimmick gimmick "                                                                                                                                                                                                                                   
[37] " might saying spice girls movie "                                                                                                                                                                                                                                      
[38] "come comes think thats point "                                                                                                                                                                                                                                         
